Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
item_resist_fire_bytime	285		1	22										4		0		22	0	21	0			6			fireresist										180	18		ModStr1j	ModStr1j										0
item_resist_ltng_bytime	286		1	22										4		0		22	0	21	0			6			lightresist										180	18		ModStr1l	ModStr1l										0
item_resist_pois_bytime	287		1	22										4		0		22	0	21	0			6			poisonresist										180	18		ModStr1n	ModStr1n										0
item_absorb_cold_bytime	288		1	22										4		0		22	0	21	0			6			item_absorbcold										180	18		ModStre9p	ModStre9p									2	0
item_absorb_fire_bytime	289		1	22										4		0		22	0	21	0			6			item_absorbfire										180	18		ModStre9o	ModStre9o									2	0
item_absorb_ltng_bytime	290		1	22										4		0		22	0	21	0			6			item_absorblight										180	18		ModStre9q	ModStre9q									2	0
item_absorb_pois_bytime	291		1	22										4		0		22	0	21	0			6			item_absorbmagic																							2	0
item_find_gold_bytime	292		1	22										4		0		22	0	21	0			6			item_goldbonus										180	18		ModStr1w	ModStr1w										0
item_find_magic_bytime	293		1	22										4		0		22	0	21	0			6			item_magicbonus										180	18		ModStr1x	ModStr1x										0
item_regenstamina_bytime	294		1	22										4		0		22	0	21	0			6			staminarecoverybonus										180	18		ModStr3v	ModStr3v										0
item_stamina_bytime	295		1	22										4		0		22	0	21	0			6			maxstamina										180	17		ModStr5d	ModStr5d										0
item_damage_demon_bytime	296		1	22										4		0		22	0	21	0			6			item_demondamage_percent					1					180	18		ModStr4e	ModStr4e										0
item_damage_undead_bytime	297		1	22										4		0		22	0	21	0			6			item_undeaddamage_percent					1					180	18		ModStr4f	ModStr4f										0
item_tohit_demon_bytime	298		1	22										4		0		22	0	21	0			6			item_demon_tohit					1					180	17		ModStr4j	ModStr4j										0
item_tohit_undead_bytime	299		1	22										4		0		22	0	21	0			6			item_undead_tohit					1					180	17		ModStr4k	ModStr4k										0
item_crushingblow_bytime	300		1	22										4		0		22	0	21	0			6			item_crushingblow					1					180	18		ModStr5c	ModStr5c										0
item_openwounds_bytime	301		1	22										4		0		22	0	21	0			6			item_openwounds					1					180	18		ModStr3m	ModStr3m										0
item_kick_damage_bytime	302		1	22										4		0		22	0	21	0			6			item_kickdamage					1					180	17		ModStr5e	ModStr5e										0
item_deadlystrike_bytime	303		1	22										4		0		22	0	21	0			6			item_deadlystrike					1					180	18		ModStr5q	ModStr5q										0
item_find_gems_bytime	304		1											4		0																																			0
item_pierce_cold	305		1	13											1432	513				12	1000																88	19		Moditemenrescoldsk	Moditemenrescoldsk										0
item_pierce_fire	306		1	13											1432	513				12	1000																88	19		Moditemenresfiresk	Moditemenresfiresk										0
item_pierce_ltng	307		1	13											1432	513				12	1000																88	19		Moditemenresltngsk	Moditemenresltngsk										0
item_pierce_pois	308		1	13											1432	513				12	1000																88	19		Moditemenrespoissk	Moditemenrespoissk										0
item_damage_vs_monster	309		1																													1																			0
item_damage_percent_vs_monster	310		1																													1																			0
item_tohit_vs_monster	311		1																													1																			0
item_tohit_percent_vs_monster	312		1																													1																			0
item_ac_vs_monster	313		1																																																0
item_ac_percent_vs_monster	314		1																																																0
firelength	315		1	19																																															0
burningmin	316		1	19																																															0
burningmax	317		1	19																																															0
progressive_damage	318		1	5																																															0
progressive_steal	319		1	5																																															0
progressive_other	320		1	5																																															0
progressive_fire	321		1	5																																															0
progressive_cold	322		1	5																																															0
progressive_lightning	323		1	5																																															0
item_extra_charges	324		1	10														6	0	9	0											1																			0
progressive_tohit	325		1	18																																															0
poison_count	326		1	7																												1																			0
damage_framerate	327		1	10																																															0
pierce_idx	328		1	8																																															0
passive_fire_mastery	329		1	16											1117	415		8	0	15	1000																88	19		ModitemdamFiresk	ModitemdamFiresk									2	0
passive_ltng_mastery	330		1	16											1054	408		8	0	15	1000																88	19		ModitemdamLtngsk	ModitemdamLtngsk									2	0
passive_cold_mastery	331		1	16											1295	379		8	0	15	1000																88	19		ModitemdamColdsk	ModitemdamColdsk									2	0
passive_pois_mastery	332		1	16											978	394		8	0	15	1000																88	19		ModitemdamPoissk	ModitemdamPoissk									2	0
passive_fire_pierce	333		1	16												2578		8	0	15	950																88	19		Moditemenresfiresk	Moditemenresfiresk									2	0
passive_ltng_pierce	334		1	16												2493		8	0	15	950																88	19		Moditemenresltngsk	Moditemenresltngsk									2	0
passive_cold_pierce	335		1	16												1984		8	0	15	950																88	19		Moditemenrescoldsk	Moditemenrescoldsk									2	0
passive_pois_pierce	336		1	16												2345		8	0	15	950																88	19		Moditemenrespoissk	Moditemenrespoissk									2	0
passive_critical_strike	337		1	16														8	0	15	0																														0
passive_dodge	338		1	16														7	0	15	0																														0
passive_avoid	339		1	16														7	0	15	0																														0
passive_evade	340		1	16														7	0	15	0																														0
passive_warmth	341		1	16														8	0	15	0																														0
passive_mastery_melee_th	342		1	16	16													8	0	15	0																														0
passive_mastery_melee_dmg	343		1	16	16													8	0	15	0																														0
passive_mastery_melee_crit	344		1	16	16													8	0	15	0																														0
passive_mastery_throw_th	345		1	16	16													8	0	15	0																														0
passive_mastery_throw_dmg	346		1	16	16													8	0	15	0																														0
passive_mastery_throw_crit	347		1	16	16													8	0	15	0																														0
passive_weaponblock	348		1	16	16													8	0	15	0																														0
passive_summon_resist	349		1	16														8	0	15	0																														0
modifierlist_skill	350			11																																															0
modifierlist_level	351			10																																															0
last_sent_hp_pct	352		1	10																																															0
source_unit_type	353			7																																															0
source_unit_id	354			32																																															0
shortparam1	355			18																																															0
questitemdifficulty	356																			4	0																														0
passive_mag_mastery	357		1	16														8	0	15	1000			11			magicmindam	magicmaxdam									88	19		ModitemdamMagicsk	ModitemdamMagicsk										0
passive_mag_pierce	358		1	16														8	0	15	900																88	19		Moditemenresmagsk	Moditemenresmagsk									2	0
skill_cooldown	359																																														0				0
skill_missile_damage_scale	360			32	16																																														0
psychicward	361		1	32																																															0
psychicwardmax	362		1	32																																															0
skill_channeling_tick	363																																																		0
customization_index	364			32																																															0
item_magic_damagemax_perlevel	365		1	7											49	128		6	0	6	0			2	3	level	magicmaxdam					1					100	19		MaxMagDmgPerLvl	MaxMagDmgPerLvl	increaseswithplaylevelX									0
passive_dmg_pierce	366		1	13												2812		8	0	12	1000																88	19		ModStrDamPierce	ModStrDamPierce									2	0
heraldtier	367		1	32							1																																								0
item_tranx	368		1	14																13																															0
item_bugarmor_per	369		1	14											47	20		9	0	13	0			13			armorclass																								0
item_bugmaxdamage_per	370		1	14											45	20		9	0	13	0			13			maxdamage	secondary_maxdamage	item_throw_maxdamage			1																			0
item_bugmindamage_per	371		1	14											45	20		9	0	13	0			13			mindamage	secondary_mindamage	item_throw_mindamage			1																			0
gembag_gem	372		1	14														7	0	13	0																154	3	2	allgempoint	allgempoint										0
item_doll	373		1	14																13	0																180	3	2	dollstr	dollstr										0
item_poke	374		1	14																13	0																180	3	2	pokstr	pokstr										0
hidden_set_counter	375		1	14																13	0																0	3		ChaosBaal											0
hiddensetcounter_str	376		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	strength										-2	19		hiddenstr											0
hiddensetcounter_allskill	377		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	item_allskills										-1	19		ModStr3k											0
item_splashonhit	378		1	14	16						1			2	190	256		21	0	13	0	16										1	domeleedamage	20			160	15	0	splash	splash										0
item_convicgem	379		1	14																13	0																														0
hiddensetcounter_dex	380		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	dexterity										-5	19		hiddendex											0
hiddensetcounter_abs_fire	381		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	item_absorbfire_percent										-6	19		hiddenabsfire											0
hiddensetcounter_abs_ltng	382		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	item_absorblight_percent										-7	19		hiddenabsltng											0
hiddensetcounter_abs_cold	383		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	item_absorbcold_percent										-8	19		hiddenabscold											0
hiddensetcounter_abs_mag	384		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	item_absorbmagic_percent										-9	19		hiddenabsmag											0
hiddensetcounter_dmg_red	385		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	damageresist										-10	19		hiddendmgred											0
hiddensetcounter_hp	386		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	item_maxhp_percent										-3	19		hiddenhp											0
hiddensetcounter_mana	387		1	14											132	128		6	0	13	0			2	3	hidden_set_counter	item_maxmana_percent										-4	19		hiddenmana											0
chaoscharm_count	388		1	14																13	0																180	3	2	ChaoscharmCount											0
val1	389		1	14																13	0																160	1	2	valpoint										2	0
item_enchantnum	390		1	14												0		10	0	13	0																180	3	2	enchantstr	enchantstr										0
kill_dummy	391																																																		0
death_dummy	392																																																		0
count_kill	393																			1				2	0	kill_base	kill_dummy										999	3	2	KillStat	KillStat										0
count_death	394																			1				2	0	death_base	death_dummy										998	3	2	DeathStat	DeathStat										0
kill_skill	395		1	27	16						1			2	85	19		21	0	26	1000	16										1	kill	30																	0
death_skill	396		1	27	16						1			2	11	9		21	0	26	1000	16											killed	30																	0
ColorDye	397			4														3	1	3	1																999	3		Color_Dye	Color_Dye										0
item_enchantreset	398		1	14												0		10	0	13	0																														0
item_enchantresetpro	399		1	14												0		10	0	13	0																181	3	0	enchantrst	enchantrst										0
pala1	400		1	14																13	0																82	19		palaUpoint											0
sosu1	401		1	14																13	0																82	19		sosuUpoint											0
item_splashradius	402		1	14																13	0																81	19		splashradius											0
item_morphrange	403		1	14																13	0																82	19		morphrange											0
assu1	404		1	14																13	0																82	19		assuUpoint											0
amaz1	405		1	14																13	0																82	19		amazUpoint											0
item_doll_demonslayer	406		1	14																13	0																180	3	2	dollstr	dollstr										0
grootval1	407		1	14																13	0																160	1	2	grootvalpoint											0
item_doll_bebop	408		1	14																13	0																180	3	2	dollstr	dollstr										0
item_convicgem1	409		1	14																13	0																														0
item_convicgem2	410		1	14																13	0																														0
item_convicgem3	411		1	14																13	0																														0
item_convicgem4	412		1	14																13	0																														0
item_convicgem5	413		1	14																13	0																														0
item_convicgem6	414		1	14																13	0																														0
item_doll_goddess	415		1	14																13	0																180	3	2	dollstr	dollstr										0
nec3	416		1	14																13	0																82	19		necUpoint3	necUpoint3										0
item_convicgemnum1	417		1	14																13	0																147	3	2	cgemnum1	cgemnum1										0
item_convicgemnum2	418		1	14																13	0																146	3	2	cgemnum2	cgemnum2										0
item_convicgemnum3	419		1	14																13	0																145	3	2	cgemnum3	cgemnum3										0
item_convicgemnum4	420		1	14																13	0																144	3	2	cgemnum4	cgemnum4										0
item_convicgemnum5	421		1	14																13	0																143	3	2	cgemnum5	cgemnum5										0
item_convicgemnum6	422		1	14																13	0																142	3	2	cgemnum6	cgemnum6										0
item_pk1	423		1	14																13	0																180	3	2	strpk1	strpk1										0
item_pk2	424		1	14																13	0																180	3	2	strpk2	strpk2										0
item_pk3	425		1	14																13	0																180	3	2	strpk3	strpk3										0
item_dhn	426		1	14																13	0																180	3	2	strdhn	strdhn										0
item_bey	427		1	14																13	0																180	3	2	strbey	strbey										0
item_mbr	428		1	14																13	0																180	3	2	strmbr	strmbr										0
item_toa	429		1	14																13	0																180	3	2	strtoa	strtoa										0
item_tes	430		1	14																13	0																180	3	2	strtes	strtes										0
item_ceh	431		1	14																13	0																180	3	2	strceh	strceh										0
item_bet	432		1	14																13	0																180	3	2	strbet	strbet										0
item_fed	433		1	14																13	0																180	3	2	strfed	strfed										0
item_bt1	434		1	14																13	0																180	3	2	strbt1	strbt1										0
item_bt2	435		1	14																13	0																180	3	2	strbt2	strbt2										0
item_bt3	436		1	14																13	0																180	3	2	strbt3	strbt3										0
item_bt4	437		1	14																13	0																180	3	2	strbt4	strbt4										0
item_bt5	438		1	14																13	0																180	3	2	strbt5	strbt5										0
item_ag1	439		1	14																13	0																180	3	2	strag1	strag1										0
item_ag2	440		1	14																13	0																180	3	2	strag2	strag2										0
kill_base	441			32			1	0	32																					1																					0
death_base	442			32			1	0	32																					1																					0
item_ultr	443		1	14																13	0																155	3	2	ultrstr	ultrstr										0
item_doll_doolys	444		1	14																13	0																180	3	2	dollstr	dollstr										0
item_sosltng	445		1	14																13	0																81	19		sosuUltng											0
item_numsockets1	446		1	7											38	170		4	0	7	0																														0
item_reversalrune	447		1	14																13	0																999	3		reversalrstr	reversalrstr										0
item_charlimt	448		1	14																13																	999	3		Limitedstr	Limitedstr										0
amaz2	449		1	14																13	0																79	19		amazUpoint1											0
item_missilesplashonhit	450		1	14	16						1			2	190	256		21	0	13	0	16										1	domissiledamage	20			160	15	0	misssplash	misssplash										0
suffering_set_counter	451		1	14																13	0																-1	3		SufferingDuriel											0
sufferingcharm_count	452		1	14																13	0																180	3	2	sufferingcharmCount											0
sufferingsetcounter_allskill	453		1	14											132	128		6	0	13	0			2	3	suffering_set_counter	item_allskills										-2	19		ModStr3k											0
sufferingsetcounter_reddmg	454		1	14											132	128		6	0	13	0			2	3	suffering_set_counter	normal_damage_reduction										-2	19		ModStr2u											0
sufferingsetcounter_redmiss	455		1	14											132	128		6	0	13	0			2	3	suffering_set_counter	armorclass_vs_missile										-2	19		ModStr6a											0
sufferingsetcounter_str	456		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	strength										-2	19		hiddenstr											0
sufferingsetcounter_dex	457		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	dexterity										-5	19		hiddendex											0
sufferingsetcounter_cold	458		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	item_pierce_cold_immunity										-5	19		ModItemMonColdSunder	ModItemMonColdSunder										0
sufferingsetcounter_fire	459		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	item_pierce_fire_immunity										-5	19		ModItemMonFireSunder	ModItemMonFireSunder										0
sufferingsetcounter_ltng	460		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	item_pierce_light_immunity										-5	19		ModItemMonLightSunder	ModItemMonLightSunder										0
sufferingsetcounter_pois	461		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	item_pierce_poison_immunity										-5	19		ModItemMonPoisonSunder	ModItemMonPoisonSunder										0
sufferingsetcounter_phy	462		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	item_pierce_damage_immunity										-5	19		ModItemMonPhysicalSunder	ModItemMonPhysicalSunder										0
sufferingsetcounter_mag	463		1	14											132	128		6	0	13	0			2	2	suffering_set_counter	item_pierce_magic_immunity										-5	19		ModItemMonMagicSunder	ModItemMonMagicSunder										0
freeze_halftofull	464																			1				2	2	item_halffreezeduration	item_cannotbefrozen																								0
item_settransnum	465		1	14											132	128		6	0	13	0																181	3	2	settransstr	settransstr										0
warr1	466		1	14																13	0																180	3	2	strwarr1	strwarr1										0
warr2	467		1	14																13	0																180	3	2	strwarr2	strwarr2										0
barz1	468		1	14																13	0																82	19		barzUpoint											0
item_pkf	469		1	14																13	0																197	3	2	item_pkf	item_pkf										0
item_pkc	470		1	14																13	0																194	3	2	item_pkc	item_pkc										0
item_pkl	471		1	14																13	0																191	3	2	item_pkl	item_pkl										0
item_pkp	472		1	14																13	0																188	3	2	item_pkp	item_pkp										0
item_pkh	473		1	14																13	0																185	3	2	item_pkh	item_pkh										0
item_pkm	474		1	14																13	0																182	3	2	item_pkm	item_pkm										0
pala2	475		1	14																13	0																82	19		palaHpoint											0
hiddensetcounter_cold	476		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	item_pierce_cold_immunity										-11	19		ModItemMonColdSunder	ModItemMonColdSunder										0
hiddensetcounter_fire	477		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	item_pierce_fire_immunity										-11	19		ModItemMonFireSunder	ModItemMonFireSunder										0
hiddensetcounter_ltng	478		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	item_pierce_light_immunity										-11	19		ModItemMonLightSunder	ModItemMonLightSunder										0
hiddensetcounter_pois	479		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	item_pierce_poison_immunity										-11	19		ModItemMonPoisonSunder	ModItemMonPoisonSunder										0
hiddensetcounter_phy	480		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	item_pierce_damage_immunity										-11	19		ModItemMonPhysicalSunder	ModItemMonPhysicalSunder										0
hiddensetcounter_mag	481		1	14											132	128		6	0	13	0			2	2	hidden_set_counter	item_pierce_magic_immunity										-11	19		ModItemMonMagicSunder	ModItemMonMagicSunder										0
item_uniquelimit	482		1	14														1		13																															0
nec1	483		1	14																13	0																82	19		necUpoint											0
item_mindamage_percent_perlevel	484		1	14											86	100		6	0	13	0			5	3	level	mindamage	secondary_mindamage	item_throw_mindamage			1					128	19		ModStr2k	ModStr2k	increaseswithplaylevelX									0
item_mindamage_perlevel	485		1	14											54	204		6	0	13	0			4	3	level	mindamage	secondary_mindamage	item_throw_mindamage			1					125	19		ModStr1g	ModStr1g	increaseswithplaylevelX									0
progressive_dru	486		1	3																																															0
onlyoneitem_addexp	487																			1				2	2	onlyoneitem_base	item_addexperience																								0
hp_overflow1	488		1	14											54	204		6	0	13	0																														0
chargeconsumlen	489		1	14																13	0																82	19		chconsumStr											0
item_doll_onepiece	490		1	14																13	0																180	3	2	dollstr	dollstr										0
item_doll_naruto	491		1	14																13	0																180	3	2	dollstr	dollstr										0
item_doll_slayes	492		1	14																13	0																180	3	2	dollstr	dollstr										0
item_skill_cooldown	493		1	14											1000	300		8	0	13	100																88	19		skillcooldown	skillcooldown									2	0
item_holysmitedmg	494		1	14																13	0																82	19		holysmitestr											0
nec2	495		1	14																13	0																82	19		necUpoint2											0
dru2	496		1	14																13	0																82	19		druUpoint2											0
stancedance	497		1	3																																															0
item_std	498		1	14											54	204		6	0	13	0																180	3	2	strstd	strstd										0
skillcontrol	499		1	32																32																															0
item_yjs	500		1	14											54	204		6	0	13	0																1	3	2	stryjs	stryjs										0
item_yjr	501		1	14											54	204		6	0	13	0																1	3	2	stryjr	stryjr										0
item_yju	502		1	14											54	204		6	0	13	0																1	3	2	stryju	stryju										0
item_dolldex_limit17	503			1			1	0	1		1	1	0							1	0																														0
item_dolldex_limit18	504			1			1	0	1		1	1	0							1	0																														0
item_dolldex_limit19	505			1			1	0	1		1	1	0							1	0																														0
item_dolldex_limit20	506			1			1	0	1		1	1	0							1	0																														0
onlyoneitem_base	507			32			1	0	32																					1																					0
onlyoneitem_remit	508																			1				4	0	onlyoneitem_base	item_levelreq										-2	1	2	onnyStrnewlvl	onnyStrnewlvl										0
onlyoneAllitem_remit	509																			1				4	0	level	onlyoneitem_remit										-2	3	0	onlyonestr	onlyonestr										0
item_amacold	510		1	14											54	204		6	0	13	0																81	19		amaUcold											0
