name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	DropConditionCalc	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	UICatOverride	diablocloneweight	AdvancedStashStackable
Great Pilum	jave		9pi	pil	9pi	0		4	1		0	xxx			11	26					16	42	2		75	75	50	176	12		37	0	75	125	4271			pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	40	500	75	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Simbilan	jave		9s9	jav	9s9	0		4	1		0	xxx			8	32					27	50	2	10	75	75	160	160	14		40	0	75	135	4650			ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	30	500	60	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Spiculum	jave		9gl	glv	9gl	0		4	1		0	xxx			13	38					32	60	2	20	75	75	196	146	16		46	0	75	145	5362			glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	12	500	30	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Harpoon	jave		9ts	pil	9ts	0		4	1		0	xxx			13	35					18	54	2	-10	75	75	50	236	18		51	0	75	150	5942			tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	48	500	120	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
War Spear	spea		9sr	spr	9sr	0		4	1		0	xxx						1	10	37			3	-10	100		50	50	50		33	0	63	1200	9767			spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	3	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Fuscina	spea		9tr	tri	9tr	0		4	1		0	xxx						1	19	37			3		100		154	50	50		36	0	72	2349	17511			tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	4	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
War Fork	spea		9br	brn	9br	0		4	1		0	xxx						1	16	40			4	-20	100		160	190	50		41	0	75	3786	29705			brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn	inv9bru	inv9bru	1	5	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Yari	spea		9st	tri	9st	0		4	1		0	xxx						1	29	59			4		100		202		50		44	0	75	5316	43068			spt	9st	7st	2ht	2ht	5	2ht	2	4					flpspt	invspt			1	6	0	2 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Lance	spea		9p9	pik	9p9	0		4	1		0	xxx						1	27	114			4	20	100		220	176	50		47	0	75	6369	54224			pik	9p9	7p7	2ht	2ht	5	2ht	2	4					flppik	invpik			1	6	0	3 square reach	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Lochaber Axe	pole		9b7	hal	9b7	0		4	1		0	xxx						1	6	58			2	10	100		160		50		33	0	63	1206	9800			bar	9b7	7o7	stf	stf	5	2hsl	2	4					flpbar	invbar			1	3	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Bill	pole		9vo	hal	9vo	0		4	1		0	xxx						1	14	53			2		100		190		50		37	0	75	2133	16654			vou	9vo	7vo	stf	stf	5	2hsl	2	4					flpvou	invvou			1	4	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Battle Scythe	pole		9s8	scy	9s8	0		4	1		0	xxx						1	18	45			1	-10	100		164	164	65		40	0	75	2844	22710			scy	9s8	7s8	stf	stf	5	2hsl	2	4					flpscy	invscy	inv9s8u	inv9s8u	1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Partizan	pole		9pa	hal	9pa	0		4	1		0	xxx						1	34	75			3	10	100		226	134	65		35	0	69	5403	34851			pax	9pa	7pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	5	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Bec-de-Corbin	pole		9h9	pax	9h9	0		4	1		0	xxx						1	13	85			4		100		266	182	55		51	0	75	8418	76220			hal	9h9	7h7	stf	stf	5	2hsl	2	4					flphal	invhal			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Grim Scythe	pole		9wc	scy	9wc	0		3	1		0	xxx						1	30	70			4	-10	100		280	280	55		55	0	75	10464	10092			wsc	9wc	7wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Jo Staff	staf		8ss	bst	8ss	0		2	1		0	xxx						1	6	21			1	-10	100		50		20		30	0	54	804	6937	1		sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	2	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Quarterstaff	staf		8ls	sst	8ls	0		2	1		0	xxx						1	8	26			1		100		50		30		35	0	69	1689	13186	1		lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	3	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Cedar Staff	staf		8cs	cst	8cs	0		2	1		0	xxx						1	11	32			1	10	100		50		35		38	0	75	2598	20038	1		cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Gothic Staff	staf		8bs	sst	8bs	0		2	1		0	xxx						1	14	34			1		100		50		40		42	0	75	3969	31700	1		bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Rune Staff	staf		8ws	lst	8ws	0		2	1		0	xxx						1	24	58			1	20	100		50		50		47	0	75	6255	53331	1		wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst	inv8wsu	inv8wsu	1	6	0	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Edge Bow	bow		8sb	sbw	8sb	0		2	1		0	xxx						1	6	19				5		100	50	86	20	1	30	0	54	600	5917			sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Razor Bow	bow		8hb	sbw	8hb	0		2	1		0	xxx						1	8	22				-10		100	50	124	32	1	33	0	63	1350	10592			hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Cedar Bow	bow		8lb	lbw	8lb	0		2	1		0	xxx						1	10	29						100	106	98	28	1	35	0	69	1770	13659			lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw	inv8lbu	inv8lbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Double Bow	bow		8cb	lbw	8cb	0		2	1		0	xxx						1	11	26				-10		100	116	146	36	1	39	0	75	2481	19793			cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Short Siege Bow	bow		8s8	sbb	8s8	0		2	1		0	xxx						1	13	30						100	130	160	40	1	43	0	75	3435	28618			sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	inv8s8u	inv8s8u	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Long Siege Bow	bow		8l8	lbb	8l8	0		2	1		0	xxx						1	10	42				10		100	160	190	44	1	46	0	75	4935	42085			lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Rune Bow	bow		8sw	sbb	8sw	0		2	1		0	xxx						1	14	35						100	146	206	48	1	49	0	75	7800	68200			swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Gothic Bow	bow		8lw	lbb	8lw	0		2	1		0	xxx						1	10	50				10		100	190	236	55	1	52	0	75	11025	10030			lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Arbalest	xbow		8lx	lxb	8lx	0		2	1		0	xxx						1	14	27				-10		100	104	122	30	1	34	0	66	2709	18601			lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	inv8lxu	inv8lxu	1	3	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Siege Crossbow	xbow		8mx	lxb	8mx	0		2	1		0	xxx						1	20	42						100	160	140	40	1	40	0	75	7335	52650			mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	inv8mxu	inv8mxu	1	4	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Ballista	xbow		8hx	hxb	8hx	0		2	1		0	xxx						1	33	55				10		100	220	160	50	1	47	0	75	12588	10294			hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Chu-Ko-Nu	xbow		8rx	hxb	8rx	0		2	1		0	xxx						1	14	32				-60		100	160	190	40	1	54	0	75	8517	81570			rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	5	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	8	0	xxx	xxx	1	0			
Khalim's Flail	mace		qf1	fla	qf1	0					0	xxx			1	15								-10	100		82	70	30		0	0	0	1412	0			fla			1hs	1hs	5	1hsl	2	3					flpfla	invqf1			1	3	0		0	item_sword	12	item_sword	1	0	5	0	0	0	17	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	0	0			
Khalim's Will	mace		qf2	fla	qf2	0					0	xxx			1	15								-10	100				30		0	0	0	1412	0			fla			1hs	1hs	5	1hsl	2	3					flpfla	invqf2			1	3	0		0	item_sword	12	item_sword	1	0	5	0	0	0	17	1	0	7	0	0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	1	xxx	xxx	0	0			
Expansion																																																																																																																																																																										
Katar	h2h		ktr	ktr	ktr	100		2	1		0	xxx			4	7							1	-10	75	75	20	20	48		1	0	0	72	512			ktr	9ar	7ar	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	2		1	1	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	wrb	btl	1	0			
Wrist Blade	h2h		wrb	ktr	wrb	100		2	1		0	xxx			5	9							1		75	75	33	33	52		9	0	0	220	1497			wrb	9wb	7wb	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1		1	1			1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	axf	skr	1	0			
Hatchet Hands	h2h		axf	axf	axf	100		2	1		0	xxx			2	15							1	10	75	75	37	37	56		12	0	0	466	2349			axf	9xf	7xf	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255		1	1	1	20					255					255	1	1			255					255					255					255					255					255					255					255	1	2	0	ces	clw	1	0			
Cestus	h2h		ces	axf	ces	100		2	1		0	xxx			7	15							1		75	75	42	42	72		15	0	0	514	2952			ces	9cs	7cs	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1		1	20					255					255					255					255					255					255					255	1	2	0	clw	btl	1	0			
Claws	h2h		clw	clw	clw	100		2	1		0	xxx			8	15							1	-10	75	75	46	46	64		18	0	0	683	3966			clw	9lw	7lw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255		1	1	1	20					255					255					255					255					255					255	1	2	0	btl	xxx	1	0			
Blade Talons	h2h		btl	clw	btl	100		2	1		0	xxx			10	14							1	-20	75	75	50	50	69		21	0	0	847	5131			btl	9tw	7tw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1			255					255					255					255	1	1		1	20					255					255		1			255					255	1	1	1	1	20					255	1	2	0	xxx	xxx	1	0			
Scissors Katar	h2h		skr	skr	skr	100		2	1		0	xxx			9	17							1	-10	75	75	55	55	68		24	0	0	1029	6533			skr	9qr	7qr	ht1	ht1	5	1hsl	1	3					flpskr	invskr	invskru	invskru	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1		1	20	1	1	1	1	20	1	1	1	1	20			1	1	20					255	1	2	0	xxx	xxx	1	0			
Quhab	h2h		9ar	ktr	9ar	100		2	1		0	xxx			11	24							1		75	75	114	114	48		28	0	63	2334	13642			ktr	9ar	7ar	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Wrist Spike	h2h		9wb	ktr	9wb	100		2	1		0	xxx			13	27							1	-10	75	75	132	132	56		32	0	72	4203	25500			wrb	9wb	7wb	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Fascia	h2h		9xf	axf	9xf	100		2	1		0	xxx			8	37							1	10	75	75	138	138	64		36	0	81	4203	28635			axf	9xf	7xf	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Hand Scythe	h2h2		9cs	axf	9cs	100		2	1		0	xxx			16	37							1	-10	75	75	146	146	72		41	0	90	2964	24088			ces	9cs	7cs	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Greater Claws	h2h2		9lw	clw	9lw	100		2	1		0	xxx			18	37							1	-20	75	75	152	152	52		45	0	99	5061	42124			clw	9lw	7lw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Greater Talons	h2h2		9tw	clw	9tw	100		2	1		0	xxx			21	35							1	-30	75	75	158	158	69		50	0	111	9291	82009			btl	9tw	7tw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Scissors Quhab	h2h2		9qr	skr	9qr	100		2	1		0	xxx			19	40							1		75	75	164	164	68		54	0	120	14223	13292			skr	9qr	7qr	ht1	ht1	5	1hsl	1	3					flpskr	invskr	invskru	invskru	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Suwayyah	h2h2		7ar	ktr	7ar	100		2	1		0	xxx			39	52							1		75	75	198	198	48		59	0	132	16205	16468			ktr	9ar	7ar	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Wrist Sword	h2h2		7wb	ktr	7wb	100		2	1		0	xxx			34	45							1	-10	75	75	210	210	56		62	0	138	16996	18120			wrb	9wb	7wb	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
War Fist	h2h2		7xf	axf	7xf	100		2	1		0	xxx			44	53							1	10	75	75	216	216	64		68	0	153	15784	18496			axf	9xf	7xf	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Battle Cestus	h2h2		7cs	axf	7cs	100		2	1		0	xxx			36	42							1	-10	75	75	220	220	72		73	0	162	15537	19553			ces	9cs	7cs	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Feral Claws	h2h2		7lw	clw	7lw	100		2	1		0	xxx			22	53							1	-20	75	75	226	226	52		78	0	174	16035	21537			clw	9lw	7lw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Runic Talons	h2h2		7tw	clw	7tw	100		2	1		0	xxx			24	44							1	-30	75	75	230	230	69		81	0	180	17396	24201			btl	9tw	7tw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Scissors Suwayyah	h2h2		7qr	skr	7qr	100		2	1		0	xxx			40	51							1		75	75	236	236	68		85	0	192	18002	26252			skr	9qr	7qr	ht1	ht1	5	1hsl	1	3					flpskr	invskr	invskru	invskru	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	2	0	xxx	xxx	1	0			
Tomahawk	axe	axe1	7ha	hax	7ha	100		3	1		0	xxx			33	58									100		250	134	28		54	0	120	14033	13121			hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0			
Small Crescent	axe	axe1	7ax	axe	7ax	100		4	1		0	xxx			38	60							1	10	100		230	166	24		61	0	135	15781	16594			axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0			
Ettin Axe	axe	axe1	72a	axe	72a	100		4	1		0	xxx			33	66							1	10	100		290	90	24		70	0	156	13496	16370			2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	5	2	0	xxx	xxx	1	0			
War Spike	axe	axe1	7mp	axe	7mp	100		4	1		0	xxx			30	48							1	-10	100		266	108	26		79	0	177	16108	21908			mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Berserker Axe	axe	axe1	7wa	hax	7wa	100		4	1		0	xxx			24	71							2		100		276	118	26		85	0	192	15957	23355			wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
Feral Axe	axe	axe2	7la	lax	7la	100		4	1		0	xxx						1	25	123			2	-15	100		392		30		57	0	126	17430	17075			lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0			
