Name	*Rune Name	complete	disallowCraftingInLadder	disallowCraftingInNonLadder	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
xGemwordGolden	Golden	1						weap	glov								2 of the same gem	gcy	gcy					dmg-ltng		1	11	swing2		5	5																					0
xGemwordGolden	Golden	1						weap	glov								2 of the same gem	gfy	gfy					dmg-ltng		1	21	swing2		8	8																					0
xGemwordGolden	Golden	1						weap	glov								2 of the same gem	gsy	gsy					dmg-ltng		1	37	swing2		12	12																					0
xGemwordGolden	Golden	1						weap	glov								2 of the same gem	gly	gly					dmg-ltng		1	58	swing2		15	15																					0
xGemwordGolden	Golden	1						weap	glov								2 of the same gem	gpy	gpy					dmg-ltng		1	85	swing2		17	17																					0
xGemwordGolden	Golden	1						tors	helm	boot							2 of the same gem	gcy	gcy					mag%		9	9	gold%		20	20	ac%		3	3	move2		5	5													0
xGemwordGolden	Golden	1						tors	helm	boot							2 of the same gem	gfy	gfy					mag%		16	16	gold%		30	30	ac%		6	6	move2		10	10													0
xGemwordGolden	Golden	1						tors	helm	boot							2 of the same gem	gsy	gsy					mag%		22	22	gold%		40	40	ac%		10	10	move2		15	15													0
xGemwordGolden	Golden	1						tors	helm	boot							2 of the same gem	gly	gly					mag%		26	26	gold%		50	50	ac%		13	13	move2		20	20													0
xGemwordGolden	Golden	1						tors	helm	boot							2 of the same gem	gpy	gpy					mag%		30	30	gold%		60	60	ac%		16	16	move2		25	25													0
xGemwordGolden	Golden	1						shld	belt								2 of the same gem	gcy	gcy					res-ltng		8	8	abs-ltng%		1	1	ac%		3	3																	0
xGemwordGolden	Golden	1						shld	belt								2 of the same gem	gfy	gfy					res-ltng		13	13	abs-ltng%		2	2	ac%		6	6																	0
xGemwordGolden	Golden	1						shld	belt								2 of the same gem	gsy	gsy					res-ltng		18	18	abs-ltng%		3	3	ac%		10	10																	0
xGemwordGolden	Golden	1						shld	belt								2 of the same gem	gly	gly					res-ltng		25	25	abs-ltng%		4	4	ac%		13	13																	0
xGemwordGolden	Golden	1						shld	belt								2 of the same gem	gpy	gpy					res-ltng		30	30	abs-ltng%		5	5	ac%		16	16																	0
xGemwordWinter	Winter	1						weap	glov								2 of the same gem	gcb	gcb					dmg-cold	15	3	5	dmg%		5	5																					0
xGemwordWinter	Winter	1						weap	glov								2 of the same gem	gfb	gfb					dmg-cold	20	7	12	dmg%		7	7																					0
xGemwordWinter	Winter	1						weap	glov								2 of the same gem	gsb	gsb					dmg-cold	25	14	19	dmg%		10	10																					0
xGemwordWinter	Winter	1						weap	glov								2 of the same gem	glb	glb					dmg-cold	30	20	25	dmg%		13	13																					0
xGemwordWinter	Winter	1						weap	glov								2 of the same gem	gpb	gpb					dmg-cold	35	25	30	dmg%		16	16																					0
xGemwordWinter	Winter	1						tors	helm	boot							2 of the same gem	gcb	gcb					mana		15	15	half-freeze		1	1	ac%		3	3	move2		5	5													0
xGemwordWinter	Winter	1						tors	helm	boot							2 of the same gem	gfb	gfb					mana		20	20	half-freeze		1	1	ac%		6	6	move2		10	10													0
xGemwordWinter	Winter	1						tors	helm	boot							2 of the same gem	gsb	gsb					mana		28	28	half-freeze		1	1	ac%		10	10	move2		15	15													0
xGemwordWinter	Winter	1						tors	helm	boot							2 of the same gem	glb	glb					mana		37	37	half-freeze		1	1	ac%		13	13	move2		20	20													0
xGemwordWinter	Winter	1						tors	helm	boot							2 of the same gem	gpb	gpb					mana		45	45	nofreeze		1	1	ac%		16	16	move2		25	25													0
xGemwordWinter	Winter	1						shld	belt								2 of the same gem	gcb	gcb					res-cold		8	8	abs-cold%		1	1	ac%		3	3																	0
xGemwordWinter	Winter	1						shld	belt								2 of the same gem	gfb	gfb					res-cold		13	13	abs-cold%		2	2	ac%		6	6																	0
xGemwordWinter	Winter	1						shld	belt								2 of the same gem	gsb	gsb					res-cold		18	18	abs-cold%		3	3	ac%		10	10																	0
xGemwordWinter	Winter	1						shld	belt								2 of the same gem	glb	glb					res-cold		25	25	abs-cold%		4	4	ac%		13	13																	0
xGemwordWinter	Winter	1						shld	belt								2 of the same gem	gpb	gpb					res-cold		30	30	abs-cold%		5	5	ac%		16	16																	0
xGemwordSlime	Slime	1						weap	glov								2 of the same gem	gcg	gcg					dmg-pois	25	66	82	dmg%		5	5																					0
xGemwordSlime	Slime	1						weap	glov								2 of the same gem	gfg	gfg					dmg-pois	50	78	101	dmg%		7	7																					0
xGemwordSlime	Slime	1						weap	glov								2 of the same gem	gsg	gsg					dmg-pois	75	101	143	dmg%		10	10																					0
xGemwordSlime	Slime	1						weap	glov								2 of the same gem	glg	glg					dmg-pois	100	143	188	dmg%		13	13																					0
xGemwordSlime	Slime	1						weap	glov								2 of the same gem	gpg	gpg					dmg-pois	125	188	242	dmg%		16	16																					0
xGemwordSlime	Slime	1						tors	helm	boot							2 of the same gem	gcg	gcg					dex		3	3	ac		5	5	ac%		3	3	move2		5	5													0
xGemwordSlime	Slime	1						tors	helm	boot							2 of the same gem	gfg	gfg					dex		5	5	ac		8	8	ac%		6	6	move2		10	10													0
xGemwordSlime	Slime	1						tors	helm	boot							2 of the same gem	gsg	gsg					dex		7	7	ac		12	12	ac%		10	10	move2		15	15													0
xGemwordSlime	Slime	1						tors	helm	boot							2 of the same gem	glg	glg					dex		9	9	ac		16	16	ac%		13	13	move2		20	20													0
xGemwordSlime	Slime	1						tors	helm	boot							2 of the same gem	gpg	gpg					dex		11	11	ac		20	20	ac%		16	16	move2		25	25													0
xGemwordSlime	Slime	1						shld	belt								2 of the same gem	gcg	gcg					res-pois		12	12	res-pois-len		3	3	ac%		3	3																	0
xGemwordSlime	Slime	1						shld	belt								2 of the same gem	gfg	gfg					res-pois		18	18	res-pois-len		6	6	ac%		6	6																	0
xGemwordSlime	Slime	1						shld	belt								2 of the same gem	gsg	gsg					res-pois		24	24	res-pois-len		9	9	ac%		10	10																	0
xGemwordSlime	Slime	1						shld	belt								2 of the same gem	glg	glg					res-pois		30	30	res-pois-len		12	12	ac%		13	13																	0
xGemwordSlime	Slime	1						shld	belt								2 of the same gem	gpg	gpg					res-pois		36	36	res-pois-len		15	15	ac%		16	16																	0
xGemwordFlame	Flame	1						weap	glov								2 of the same gem	gcr	gcr					dmg-fire		2	6	dmg%		5	5																					0
xGemwordFlame	Flame	1						weap	glov								2 of the same gem	gfr	gfr					dmg-fire		5	12	dmg%		7	7																					0
xGemwordFlame	Flame	1						weap	glov								2 of the same gem	gsr	gsr					dmg-fire		10	22	dmg%		10	10																					0
xGemwordFlame	Flame	1						weap	glov								2 of the same gem	glr	glr					dmg-fire		15	34	dmg%		13	13																					0
xGemwordFlame	Flame	1						weap	glov								2 of the same gem	gpr	gpr					dmg-fire		20	50	dmg%		16	16																					0
xGemwordFlame	Flame	1						tors	helm	boot							2 of the same gem	gcr	gcr					hp		15	15	red-dmg		1	1	ac%		3	3	move2		5	5													0
xGemwordFlame	Flame	1						tors	helm	boot							2 of the same gem	gfr	gfr					hp		19	19	red-dmg		2	2	ac%		6	6	move2		10	10													0
xGemwordFlame	Flame	1						tors	helm	boot							2 of the same gem	gsr	gsr					hp		27	27	red-dmg		3	3	ac%		10	10	move2		15	15													0
xGemwordFlame	Flame	1						tors	helm	boot							2 of the same gem	glr	glr					hp		35	35	red-dmg		4	4	ac%		13	13	move2		20	20													0
xGemwordFlame	Flame	1						tors	helm	boot							2 of the same gem	gpr	gpr					hp		45	45	red-dmg		5	5	ac%		16	16	move2		25	25													0
xGemwordFlame	Flame	1						shld	belt								2 of the same gem	gcr	gcr					res-fire		8	8	abs-fire%		1	1	ac%		3	3																	0
xGemwordFlame	Flame	1						shld	belt								2 of the same gem	gfr	gfr					res-fire		13	13	abs-fire%		2	2	ac%		6	6																	0
xGemwordFlame	Flame	1						shld	belt								2 of the same gem	gsr	gsr					res-fire		18	18	abs-fire%		3	3	ac%		10	10																	0
xGemwordFlame	Flame	1						shld	belt								2 of the same gem	glr	glr					res-fire		25	25	abs-fire%		4	4	ac%		13	13																	0
xGemwordFlame	Flame	1						shld	belt								2 of the same gem	gpr	gpr					res-fire		30	30	abs-fire%		5	5	ac%		16	16																	0
xGemwordMirror	Mirror	1						weap	glov								2 of the same gem	gcw	gcw					dmg-undead		28	28	deadly		5	5																					0
xGemwordMirror	Mirror	1						weap	glov								2 of the same gem	gfw	gfw					dmg-undead		35	35	deadly		8	8																					0
xGemwordMirror	Mirror	1						weap	glov								2 of the same gem	gsw	gsw					dmg-undead		42	42	deadly		11	11																					0
xGemwordMirror	Mirror	1						weap	glov								2 of the same gem	glw	glw					dmg-undead		50	50	deadly		14	14																					0
xGemwordMirror	Mirror	1						weap	glov								2 of the same gem	gpw	gpw					dmg-undead		60	60	deadly		17	17																					0
xGemwordMirror	Mirror	1						tors	helm	boot							2 of the same gem	gcw	gcw					att		30	30	red-mag		1	1	ac%		10	10	move2		5	5													0
xGemwordMirror	Mirror	1						tors	helm	boot							2 of the same gem	gfw	gfw					att		60	60	red-mag		2	2	ac%		13	13	move2		10	10													0
xGemwordMirror	Mirror	1						tors	helm	boot							2 of the same gem	gsw	gsw					att		80	80	red-mag		3	3	ac%		16	16	move2		15	15													0
xGemwordMirror	Mirror	1						tors	helm	boot							2 of the same gem	glw	glw					att		100	100	red-mag		4	4	ac%		20	20	move2		20	20													0
xGemwordMirror	Mirror	1						tors	helm	boot							2 of the same gem	gpw	gpw					att		125	125	red-mag		5	5	ac%		25	25	move2		25	25													0
xGemwordMirror	Mirror	1						shld	belt								2 of the same gem	gcw	gcw					res-all		2	2	red-dmg%		1	1	ac%		10	10																	0
xGemwordMirror	Mirror	1						shld	belt								2 of the same gem	gfw	gfw					res-all		4	4	red-dmg%		2	2	ac%		13	13																	0
xGemwordMirror	Mirror	1						shld	belt								2 of the same gem	gsw	gsw					res-all		6	6	red-dmg%		3	3	ac%		16	16																	0
xGemwordMirror	Mirror	1						shld	belt								2 of the same gem	glw	glw					res-all		9	9	red-dmg%		4	4	ac%		20	20																	0
xGemwordMirror	Mirror	1						shld	belt								2 of the same gem	gpw	gpw					res-all		12	12	red-dmg%		5	5	ac%		25	25																	0
xGemwordMarrow	Marrow	1						weap	glov								2 of the same gem	skc	skc					manasteal		1	1	lifesteal		2	2	reduce-ac		2	2																	0
xGemwordMarrow	Marrow	1						weap	glov								2 of the same gem	skf	skf					manasteal		2	2	lifesteal		2	2	reduce-ac		4	4																	0
xGemwordMarrow	Marrow	1						weap	glov								2 of the same gem	sku	sku					manasteal		3	3	lifesteal		3	3	reduce-ac		6	6																	0
xGemwordMarrow	Marrow	1						weap	glov								2 of the same gem	skl	skl					manasteal		3	3	lifesteal		4	4	reduce-ac		8	8																	0
xGemwordMarrow	Marrow	1						weap	glov								2 of the same gem	skz	skz					manasteal		4	4	lifesteal		4	4	reduce-ac		10	10																	0
xGemwordMarrow	Marrow	1						tors	helm	boot							2 of the same gem	skc	skc					regen		2	2	regen-mana		8	8	ac%		3	3	move2		5	5													0
xGemwordMarrow	Marrow	1						tors	helm	boot							2 of the same gem	skf	skf					regen		3	3	regen-mana		12	12	ac%		6	6	move2		10	10													0
xGemwordMarrow	Marrow	1						tors	helm	boot							2 of the same gem	sku	sku					regen		4	4	regen-mana		15	15	ac%		10	10	move2		15	15													0
xGemwordMarrow	Marrow	1						tors	helm	boot							2 of the same gem	skl	skl					regen		5	5	regen-mana		18	18	ac%		13	13	move2		20	20													0
xGemwordMarrow	Marrow	1						tors	helm	boot							2 of the same gem	skz	skz					regen		6	6	regen-mana		22	22	ac%		16	16	move2		25	25													0
xGemwordMarrow	Marrow	1						shld	belt								2 of the same gem	skc	skc					thorns		10	10	rep-dur	4			ac%		6	6																	0
xGemwordMarrow	Marrow	1						shld	belt								2 of the same gem	skf	skf					thorns		25	25	rep-dur	5			ac%		10	10																	0
xGemwordMarrow	Marrow	1						shld	belt								2 of the same gem	sku	sku					thorns/lvl	8			rep-dur	6			ac%		13	13																	0
xGemwordMarrow	Marrow	1						shld	belt								2 of the same gem	skl	skl					thorns/lvl	12			rep-dur	7			ac%		16	16																	0
xGemwordMarrow	Marrow	1						shld	belt								2 of the same gem	skz	skz					thorns/lvl	16			rep-dur	8			ac%		20	20																	0
xGemwordViolet	Violet	1						weap	glov								3 of the same gem	gcv	gcv	gcv				att		80	80	dmg%		13	13																					0
xGemwordViolet	Violet	1						weap	glov								3 of the same gem	gfv	gfv	gfv				att		120	120	dmg%		16	16																					0
xGemwordViolet	Violet	1						weap	glov								3 of the same gem	gsv	gsv	gsv				att		160	160	dmg%		20	20																					0
xGemwordViolet	Violet	1						weap	glov								3 of the same gem	gzv	gzv	gzv				att		225	225	dmg%		25	25																					0
xGemwordViolet	Violet	1						weap	glov								3 of the same gem	gpv	gpv	gpv				att		260	260	dmg%		30	30																					0
xGemwordViolet	Violet	1						tors	helm	boot							3 of the same gem	gcv	gcv	gcv				ac%		13	13	ac		18	18	move2		10	10																	0
xGemwordViolet	Violet	1						tors	helm	boot							3 of the same gem	gfv	gfv	gfv				ac%		16	16	ac		24	24	move2		15	15																	0
xGemwordViolet	Violet	1						tors	helm	boot							3 of the same gem	gsv	gsv	gsv				ac%		20	20	ac		30	30	move2		20	20																	0
xGemwordViolet	Violet	1						tors	helm	boot							3 of the same gem	gzv	gzv	gzv				ac%		25	25	ac		45	45	move2		25	25																	0
xGemwordViolet	Violet	1						tors	helm	boot							3 of the same gem	gpv	gpv	gpv				ac%		30	30	ac		50	50	move2		30	30																	0
xGemwordViolet	Violet	1						shld	belt								3 of the same gem	gcv	gcv	gcv				block2		8	8	ac%		13	13																					0
xGemwordViolet	Violet	1						shld	belt								3 of the same gem	gfv	gfv	gfv				block2		12	12	ac%		16	16																					0
xGemwordViolet	Violet	1						shld	belt								3 of the same gem	gsv	gsv	gsv				block2		15	15	ac%		20	20																					0
xGemwordViolet	Violet	1						shld	belt								3 of the same gem	gzv	gzv	gzv				block2		17	17	ac%		25	25																					0
xGemwordViolet	Violet	1						shld	belt								3 of the same gem	gpv	gpv	gpv				block2		20	20	ac%		30	30																					0
xGemwordGolden	Golden	1						weap	glov								3 of the same gem	gcy	gcy	gcy				dmg-ltng		1	21	swing2		8	8																					0
xGemwordGolden	Golden	1						weap	glov								3 of the same gem	gfy	gfy	gfy				dmg-ltng		1	37	swing2		12	12																					0
xGemwordGolden	Golden	1						weap	glov								3 of the same gem	gsy	gsy	gsy				dmg-ltng		1	58	swing2		15	15																					0
xGemwordGolden	Golden	1						weap	glov								3 of the same gem	gly	gly	gly				dmg-ltng		1	85	swing2		17	17																					0
xGemwordGolden	Golden	1						weap	glov								3 of the same gem	gpy	gpy	gpy				dmg-ltng		1	100	swing2		20	20																					0
xGemwordGolden	Golden	1						tors	helm	boot							3 of the same gem	gcy	gcy	gcy				mag%		16	16	gold%		30	30	ac%		6	6	move2		10	10													0
xGemwordGolden	Golden	1						tors	helm	boot							3 of the same gem	gfy	gfy	gfy				mag%		22	22	gold%		40	40	ac%		10	10	move2		15	15													0
xGemwordGolden	Golden	1						tors	helm	boot							3 of the same gem	gsy	gsy	gsy				mag%		26	26	gold%		50	50	ac%		13	13	move2		20	20													0
xGemwordGolden	Golden	1						tors	helm	boot							3 of the same gem	gly	gly	gly				mag%		30	30	gold%		60	60	ac%		16	16	move2		25	25													0
xGemwordGolden	Golden	1						tors	helm	boot							3 of the same gem	gpy	gpy	gpy				mag%		35	35	gold%		70	70	ac%		18	18	move2		30	30													0
xGemwordGolden	Golden	1						shld	belt								3 of the same gem	gcy	gcy	gcy				res-ltng		13	13	abs-ltng%		2	2	ac%		6	6																	0
xGemwordGolden	Golden	1						shld	belt								3 of the same gem	gfy	gfy	gfy				res-ltng		18	18	abs-ltng%		3	3	ac%		10	10																	0
xGemwordGolden	Golden	1						shld	belt								3 of the same gem	gsy	gsy	gsy				res-ltng		25	25	abs-ltng%		4	4	ac%		13	13																	0
xGemwordGolden	Golden	1						shld	belt								3 of the same gem	gly	gly	gly				res-ltng		30	30	abs-ltng%		5	5	ac%		16	16																	0
xGemwordGolden	Golden	1						shld	belt								3 of the same gem	gpy	gpy	gpy				res-ltng		35	35	abs-ltng%		6	6	ac%		18	18																	0
xGemwordWinter	Winter	1						weap	glov								3 of the same gem	gcb	gcb	gcb				dmg-cold	15	7	12	dmg%		7	7																					0
xGemwordWinter	Winter	1						weap	glov								3 of the same gem	gfb	gfb	gfb				dmg-cold	20	14	19	dmg%		10	10																					0
xGemwordWinter	Winter	1						weap	glov								3 of the same gem	gsb	gsb	gsb				dmg-cold	25	20	25	dmg%		13	13																					0
xGemwordWinter	Winter	1						weap	glov								3 of the same gem	glb	glb	glb				dmg-cold	30	25	30	dmg%		16	16																					0
xGemwordWinter	Winter	1						weap	glov								3 of the same gem	gpb	gpb	gpb				dmg-cold	35	30	35	dmg%		20	20																					0
xGemwordWinter	Winter	1						tors	helm	boot							3 of the same gem	gcb	gcb	gcb				mana		20	20	half-freeze		1	1	ac%		6	6	move2		10	10													0
xGemwordWinter	Winter	1						tors	helm	boot							3 of the same gem	gfb	gfb	gfb				mana		28	28	half-freeze		1	1	ac%		10	10	move2		15	15													0
xGemwordWinter	Winter	1						tors	helm	boot							3 of the same gem	gsb	gsb	gsb				mana		37	37	half-freeze		1	1	ac%		13	13	move2		20	20													0
xGemwordWinter	Winter	1						tors	helm	boot							3 of the same gem	glb	glb	glb				mana		45	45	nofreeze		1	1	ac%		16	16	move2		25	25													0
xGemwordWinter	Winter	1						tors	helm	boot							3 of the same gem	gpb	gpb	gpb				mana		53	53	nofreeze		1	1	ac%		18	18	move2		30	30													0
xGemwordWinter	Winter	1						shld	belt								3 of the same gem	gcb	gcb	gcb				res-cold		13	13	abs-cold%		2	2	ac%		6	6																	0
xGemwordWinter	Winter	1						shld	belt								3 of the same gem	gfb	gfb	gfb				res-cold		18	18	abs-cold%		3	3	ac%		10	10																	0
xGemwordWinter	Winter	1						shld	belt								3 of the same gem	gsb	gsb	gsb				res-cold		25	25	abs-cold%		4	4	ac%		13	13																	0
xGemwordWinter	Winter	1						shld	belt								3 of the same gem	glb	glb	glb				res-cold		30	30	abs-cold%		5	5	ac%		16	16																	0
xGemwordWinter	Winter	1						shld	belt								3 of the same gem	gpb	gpb	gpb				res-cold		35	35	abs-cold%		6	6	ac%		18	18																	0
xGemwordSlime	Slime	1						weap	glov								3 of the same gem	gcg	gcg	gcg				dmg-pois	25	78	101	dmg%		7	7																					0
xGemwordSlime	Slime	1						weap	glov								3 of the same gem	gfg	gfg	gfg				dmg-pois	50	101	143	dmg%		10	10																					0
xGemwordSlime	Slime	1						weap	glov								3 of the same gem	gsg	gsg	gsg				dmg-pois	75	143	188	dmg%		13	13																					0
xGemwordSlime	Slime	1						weap	glov								3 of the same gem	glg	glg	glg				dmg-pois	100	188	242	dmg%		16	16																					0
xGemwordSlime	Slime	1						weap	glov								3 of the same gem	gpg	gpg	gpg				dmg-pois	125	242	298	dmg%		20	20																					0
xGemwordSlime	Slime	1						tors	helm	boot							3 of the same gem	gcg	gcg	gcg				dex		5	5	ac		8	8	ac%		6	6	move2		10	10													0
xGemwordSlime	Slime	1						tors	helm	boot							3 of the same gem	gfg	gfg	gfg				dex		7	7	ac		12	12	ac%		10	10	move2		15	15													0
xGemwordSlime	Slime	1						tors	helm	boot							3 of the same gem	gsg	gsg	gsg				dex		9	9	ac		16	16	ac%		13	13	move2		20	20													0
xGemwordSlime	Slime	1						tors	helm	boot							3 of the same gem	glg	glg	glg				dex		11	11	ac		20	20	ac%		16	16	move2		25	25													0
xGemwordSlime	Slime	1						tors	helm	boot							3 of the same gem	gpg	gpg	gpg				dex		13	13	ac		25	25	ac%		20	20	move2		30	30													0
xGemwordSlime	Slime	1						shld	belt								3 of the same gem	gcg	gcg	gcg				res-pois		18	18	res-pois-len		6	6	ac%		6	6																	0
xGemwordSlime	Slime	1						shld	belt								3 of the same gem	gfg	gfg	gfg				res-pois		24	24	res-pois-len		9	9	ac%		10	10																	0
xGemwordSlime	Slime	1						shld	belt								3 of the same gem	gsg	gsg	gsg				res-pois		30	30	res-pois-len		12	12	ac%		13	13																	0
xGemwordSlime	Slime	1						shld	belt								3 of the same gem	glg	glg	glg				res-pois		36	36	res-pois-len		15	15	ac%		16	16																	0
xGemwordSlime	Slime	1						shld	belt								3 of the same gem	gpg	gpg	gpg				res-pois		40	40	res-pois-len		18	18	ac%		20	20																	0
xGemwordFlame	Flame	1						weap	glov								3 of the same gem	gcr	gcr	gcr				dmg-fire		5	12	dmg%		7	7																					0
xGemwordFlame	Flame	1						weap	glov								3 of the same gem	gfr	gfr	gfr				dmg-fire		10	22	dmg%		10	10																					0
xGemwordFlame	Flame	1						weap	glov								3 of the same gem	gsr	gsr	gsr				dmg-fire		15	34	dmg%		13	13																					0
xGemwordFlame	Flame	1						weap	glov								3 of the same gem	glr	glr	glr				dmg-fire		20	50	dmg%		16	16																					0
xGemwordFlame	Flame	1						weap	glov								3 of the same gem	gpr	gpr	gpr				dmg-fire		25	63	dmg%		20	20																					0
xGemwordFlame	Flame	1						tors	helm	boot							3 of the same gem	gcr	gcr	gcr				hp		19	19	red-dmg		2	2	ac%		6	6	move2		10	10													0
xGemwordFlame	Flame	1						tors	helm	boot							3 of the same gem	gfr	gfr	gfr				hp		27	27	red-dmg		3	3	ac%		10	10	move2		15	15													0
xGemwordFlame	Flame	1						tors	helm	boot							3 of the same gem	gsr	gsr	gsr				hp		35	35	red-dmg		4	4	ac%		13	13	move2		20	20													0
xGemwordFlame	Flame	1						tors	helm	boot							3 of the same gem	glr	glr	glr				hp		45	45	red-dmg		5	5	ac%		16	16	move2		25	25													0
xGemwordFlame	Flame	1						tors	helm	boot							3 of the same gem	gpr	gpr	gpr				hp		54	54	red-dmg		6	6	ac%		20	20	move2		30	30													0
xGemwordFlame	Flame	1						shld	belt								3 of the same gem	gcr	gcr	gcr				res-fire		13	13	abs-fire%		2	2	ac%		6	6																	0
xGemwordFlame	Flame	1						shld	belt								3 of the same gem	gfr	gfr	gfr				res-fire		18	18	abs-fire%		3	3	ac%		10	10																	0
xGemwordFlame	Flame	1						shld	belt								3 of the same gem	gsr	gsr	gsr				res-fire		25	25	abs-fire%		4	4	ac%		13	13																	0
xGemwordFlame	Flame	1						shld	belt								3 of the same gem	glr	glr	glr				res-fire		30	30	abs-fire%		5	5	ac%		16	16																	0
xGemwordFlame	Flame	1						shld	belt								3 of the same gem	gpr	gpr	gpr				res-fire		35	35	abs-fire%		6	6	ac%		20	20																	0
xGemwordMirror	Mirror	1						weap	glov								3 of the same gem	gcw	gcw	gcw				dmg-undead		35	35	deadly		8	8																					0
xGemwordMirror	Mirror	1						weap	glov								3 of the same gem	gfw	gfw	gfw				dmg-undead		42	42	deadly		11	11																					0
xGemwordMirror	Mirror	1						weap	glov								3 of the same gem	gsw	gsw	gsw				dmg-undead		50	50	deadly		14	14																					0
xGemwordMirror	Mirror	1						weap	glov								3 of the same gem	glw	glw	glw				dmg-undead		60	60	deadly		17	17																					0
xGemwordMirror	Mirror	1						weap	glov								3 of the same gem	gpw	gpw	gpw				dmg-undead		70	70	deadly		20	20																					0
xGemwordMirror	Mirror	1						tors	helm	boot							3 of the same gem	gcw	gcw	gcw				att		60	60	red-mag		2	2	ac%		13	13	move2		10	10													0
xGemwordMirror	Mirror	1						tors	helm	boot							3 of the same gem	gfw	gfw	gfw				att		80	80	red-mag		3	3	ac%		16	16	move2		15	15													0
xGemwordMirror	Mirror	1						tors	helm	boot							3 of the same gem	gsw	gsw	gsw				att		100	100	red-mag		4	4	ac%		20	20	move2		20	20													0
xGemwordMirror	Mirror	1						tors	helm	boot							3 of the same gem	glw	glw	glw				att		125	125	red-mag		5	5	ac%		25	25	move2		25	25													0
xGemwordMirror	Mirror	1						tors	helm	boot							3 of the same gem	gpw	gpw	gpw				att		140	140	red-mag		6	6	ac%		30	30	move2		30	30													0
xGemwordMirror	Mirror	1						shld	belt								3 of the same gem	gcw	gcw	gcw				res-all		4	4	red-dmg%		2	2	ac%		13	13																	0
xGemwordMirror	Mirror	1						shld	belt								3 of the same gem	gfw	gfw	gfw				res-all		6	6	red-dmg%		3	3	ac%		16	16																	0
xGemwordMirror	Mirror	1						shld	belt								3 of the same gem	gsw	gsw	gsw				res-all		9	9	red-dmg%		4	4	ac%		20	20																	0
xGemwordMirror	Mirror	1						shld	belt								3 of the same gem	glw	glw	glw				res-all		12	12	red-dmg%		5	5	ac%		25	25																	0
xGemwordMirror	Mirror	1						shld	belt								3 of the same gem	gpw	gpw	gpw				res-all		15	15	red-dmg%		6	6	ac%		30	30																	0
xGemwordMarrow	Marrow	1						weap	glov								3 of the same gem	skc	skc	skc				manasteal		2	2	lifesteal		2	2	reduce-ac		4	4																	0
xGemwordMarrow	Marrow	1						weap	glov								3 of the same gem	skf	skf	skf				manasteal		3	3	lifesteal		3	3	reduce-ac		6	6																	0
xGemwordMarrow	Marrow	1						weap	glov								3 of the same gem	sku	sku	sku				manasteal		4	4	lifesteal		4	4	reduce-ac		8	8																	0
xGemwordMarrow	Marrow	1						weap	glov								3 of the same gem	skl	skl	skl				manasteal		5	5	lifesteal		5	5	reduce-ac		10	10																	0
xGemwordMarrow	Marrow	1						weap	glov								3 of the same gem	skz	skz	skz				manasteal		6	6	lifesteal		6	6	reduce-ac		12	12																	0
xGemwordMarrow	Marrow	1						tors	helm	boot							3 of the same gem	skc	skc	skc				regen		3	3	lifesteal		3	3	reduce-ac		6	6	move2		10	10													0
xGemwordMarrow	Marrow	1						tors	helm	boot							3 of the same gem	skf	skf	skf				regen		3	3	lifesteal		4	4	reduce-ac		8	8	move2		15	15													0
xGemwordMarrow	Marrow	1						tors	helm	boot							3 of the same gem	sku	sku	sku				regen		4	4	lifesteal		4	4	reduce-ac		10	10	move2		20	20													0
xGemwordMarrow	Marrow	1						tors	helm	boot							3 of the same gem	skl	skl	skl				regen		6	6	regen-mana		22	22	ac%		16	16	move2		25	25													0
xGemwordMarrow	Marrow	1						tors	helm	boot							3 of the same gem	skz	skz	skz				regen		8	8	regen-mana		33	33	ac%		20	20	move2		30	30													0
xGemwordMarrow	Marrow	1						shld	belt								3 of the same gem	skc	skc	skc				thorns		25	25	rep-dur	5			ac%		10	10																	0
xGemwordMarrow	Marrow	1						shld	belt								3 of the same gem	skf	skf	skf				thorns		40	40	rep-dur	6			ac%		13	13																	0
xGemwordMarrow	Marrow	1						shld	belt								3 of the same gem	sku	sku	sku				thorns/lvl	10			rep-dur	7			ac%		16	16																	0
xGemwordMarrow	Marrow	1						shld	belt								3 of the same gem	skl	skl	skl				thorns/lvl	14			rep-dur	8			ac%		20	20																	0
xGemwordMarrow	Marrow	1						shld	belt								3 of the same gem	skz	skz	skz				thorns/lvl	18			rep-dur	9			ac%		25	25																	0
xGemwordViolet	Violet	1						weap	glov								4 of the same gem	gcv	gcv	gcv	gcv			att		120	120	dmg%		16	16																					0
xGemwordViolet	Violet	1						weap	glov								4 of the same gem	gfv	gfv	gfv	gfv			att		160	160	dmg%		20	20																					0
xGemwordViolet	Violet	1						weap	glov								4 of the same gem	gsv	gsv	gsv	gsv			att		225	225	dmg%		25	25																					0
xGemwordViolet	Violet	1						weap	glov								4 of the same gem	gzv	gzv	gzv	gzv			att		260	260	dmg%		30	30																					0
