name	compactsave	version	level	ShowLevel	levelreq	reqstr	reqdex	rarity	spawnable	DropConditionCalc	speed	nodurability	cost	gamble cost	code	alternategfx	normcode	ubercode	ultracode	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	Transmogrify	TMogType	TMogMin	TMogMax	useable	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	PermStoreItem	multibuy	Nameable	EventItem	UICatOverride	diablocloneweight	AdvancedStashStackable	UsageConditionCalc
Fal Rune	0	100	82	0	82			16	1		0	1	40460		a19	r19	a19	a19	a19	a19	16	1	1	0	0	0	flprun	inva19		0	xxx			0	runx	run2	item_rune	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Lem Rune	0	100	86	0	86			17	1		0	1	45360		a20	r20	a20	a20	a20	a20	16	1	1	0	0	0	flprun_rune	inva20		0	xxx			0	runx	run2	item_rune	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Pul Rune	0	100	90	0	90			18	1		0	1	50540		a21	r21	a21	a21	a21	a21	16	1	1	0	0	0	flprun_rune	inva21		0	xxx			0	runx	run2	rune21	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Um Rune	0	100	141	0	141			19	1		0	1	56000		a22	r22	a22	a22	a22	a22	16	1	1	0	0	0	flprun_rune	inva22		0	xxx			0	runx	run2	rune22	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Mal Rune	0	100	147	0	147			20	1		0	1	61740		a23	r23	a23	a23	a23	a23	16	1	1	0	0	0	flprun_rune	inva23		0	xxx			0	runx	run2	rune23	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Ist Rune	0	100	153	0	153			21	1		0	1	67760		a24	r24	a24	a24	a24	a24	16	1	1	0	0	0	flprun_rune	inva24		0	xxx			0	runx	run2	rune24	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Gul Rune	0	100	159	0	159			22	1		0	1	74060		a25	r25	a25	a25	a25	a25	16	1	1	0	0	0	flprun_rune	inva25		0	xxx			0	runx	run2	rune25	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Vex Rune	0	100	165	0	165			23	1		0	1	80640		a26	r26	a26	a26	a26	a26	16	1	1	0	0	0	flprun_rune	inva26		0	xxx			0	runx	run2	rune26	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Ohm Rune	0	100	171	0	171			24	1		0	1	87500		a27	r27	a27	a27	a27	a27	16	1	1	0	0	0	flprun_rune	inva27		0	xxx			0	runx	run2	rune27	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Lo Rune	0	100	177	0	177			25	1		0	1	94640		a28	r28	a28	a28	a28	a28	16	1	1	0	0	0	flprun_rune	inva28		0	xxx			0	runx	run2	rune28	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Sur Rune	0	100	183	0	183			26	1		0	1	102060		a29	r29	a29	a29	a29	a29	16	1	1	0	0	0	flprun_rune	inva29		0	xxx			0	runx	run2	rune29	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Ber Rune	0	100	189	0	189			27	1		0	1	109760		a30	r30	a30	a30	a30	a30	16	1	1	0	0	0	flprun_rune	inva30		0	xxx			0	runx	run2	rune30	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Jah Rune	0	100	195	0	195			28	1		0	1	117740		a31	r31	a31	a31	a31	a31	16	1	1	0	0	0	flprun_rune	inva31		0	xxx			0	runx	run2	rune31	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Cham Rune	0	100	201	0	201			29	1		0	1	126000		a32	r32	a32	a32	a32	a32	16	1	1	0	0	0	flprun_rune	inva32		0	xxx			0	runx	run2	rune32	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Zod Rune	0	100	207	0	207			30	1		0	1	134540		a33	r33	a33	a33	a33	a33	16	1	1	0	0	0	flprun_rune	inva33		0	xxx			0	runx	run2	rune33	12	item_rune	0	0	5	0	0	0	1	1	50	1			0	-1	-1																0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Small Gold Bag	1	100	0	0	0			999	1		0	1	500		g01	g01	g01	g01	g01	g01	16	1	1	0	0	0	invgld	invgld1		0	xxx			1	gbag		item_book	12	item_gold	0	0	5	0	0	0	0	0	0	0			0	-1	4					gold	"rand(100,1000)"					4	UseGoldBag		100		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Gold Bag	1	100	0	0	0			999	1		0	1	5000		g02	g02	g02	g02	g02	g02	16	1	1	0	0	0	invgld	invgld2		0	xxx			1	gbag		item_book	12	item_gold	0	0	5	0	0	0	0	0	0	0			0	-1	4					gold	"rand(1000,10000)"					4	UseGoldBag		1000		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Large Gold Bag	1	100	0	0	0			999	1		0	1	50000		g03	g03	g03	g03	g03	g03	16	1	1	0	0	0	invgld	invgld3		0	xxx			1	gbag		item_book	12	item_gold	0	0	5	0	0	0	0	0	0	0			0	-1	4					gold	"rand(10000,100000)"					4	UseGoldBag		10000		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Huge Gold Bag	1	100	0	0	0			999	1		0	1	500000		g04	g04	g04	g04	g04	g04	16	1	1	0	0	0	invgld	invgld4		0	xxx			1	gbag		item_book	12	item_gold	0	0	5	0	0	0	0	0	0	0			0	-1	4					gold	"rand(100000,1000000)"					4	UseGoldBag		100000		0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
TransX Gem1	1	100	0	0	0			999	1		0	1	100		tx1	tx1	tx1	tx1	tx1	tx1	16	1	1	0	0	0	flptail	invtx1		0	xxx			1	trnx	13tx	item_monsterguts	12	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1	4											1	txdesc			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
TransX Gem2	1	100	0	0	0			999	1		0	1	100		tx2	tx2	tx2	tx2	tx2	tx2	16	1	1	0	0	0	flpflag	invtx2		0	xxx			1	trnx	13tx	item_monsterguts	12	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1	4											1	txdesc			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
TransX Gem3	1	100	0	0	0			999	1		0	1	100		tx3	tx3	tx3	tx3	tx3	tx3	16	1	1	0	0	0	flpfang	invtx3		0	xxx			1	trnx	13tx	item_monsterguts	12	item_monsterguts	0	0	5	0	0	0	0	0	0	0			0	-1	4											1	txdesc			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Random Rune Box	1	100	0	0	0			1	1		0	1	100		rb1	rb1	rb1	rb1	rb1	rb1	16	1	1	0	0	0	flprun	invrb1		0	xxx			0	gbag	rbox	item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	rbdesc2			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Random Weapon Box	1	100	0	0	0			1	1		0	1	100		rb2	rb2	rb2	rb2	rb2	rb2	16	1	1	0	0	0	flprun	invrb2		0	xxx			0	gbag	rbox	item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	rbdesc1			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Random Armo Box	1	100	0	0	0			1	1		0	1	100		rb3	rb3	rb3	rb3	rb3	rb3	16	1	1	0	0	0	flprun	invrb3		0	xxx			0	gbag	rbox	item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	rbdesc1			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Random Acce Box	1	100	0	0	0			1	1		0	1	100		rb5	rb5	rb5	rb5	rb5	rb5	16	1	1	0	0	0	flprun	invrb5		0	xxx			0	gbag	rbox	item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	rbdesc1			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Random Rune Box ea	0	100	0	0	0			1	1		0	1	1		rv1	rv1	rv1	rv1	rv1	rv1	16	1	1	0	0	0	flprun	invrv1		0	xxx			0	runx		item_gem	12	item_gem	0	0	5	0	0	0	1	1	50	1			0	-1	-1											1	rvdesc1				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Random Weapon Box ea	0	100	0	0	0			1	1		0	1	1		rv2	rv2	rv2	rv2	rv2	rv2	16	1	1	0	0	0	flprun	invrv2		0	xxx			0	runx		item_gem	12	item_gem	0	0	5	0	0	0	1	1	50	1			0	-1	-1											1	rvdesc1				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Random Armo Box ea	0	100	0	0	0			1	1		0	1	1		rv3	rv3	rv3	rv3	rv3	rv3	16	1	1	0	0	0	flprun	invrv3		0	xxx			0	runx		item_gem	12	item_gem	0	0	5	0	0	0	1	1	50	1			0	-1	-1											1	rvdesc1				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Random Acce Box ea	0	100	0	0	0			1	1		0	1	1		rv4	rv4	rv4	rv4	rv4	rv4	16	1	1	0	0	0	flprun	invrv4		0	xxx			0	runx		item_gem	12	item_gem	0	0	5	0	0	0	1	1	50	1			0	-1	-1											1	rvdesc1				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Random Rune Box Low ea	0	100	0	0	0			1	1		0	1	1		rv5	rv5	rv5	rv5	rv5	rv5	16	1	1	0	0	0	flprun	invrv5		0	xxx			0	runx		item_gem	12	item_gem	0	0	5	0	0	0	1	1	50	1			0	-1	-1											1	rvdesc1				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Random Rune Box Low	1	100	0	0	0			1	1		0	1	100		rb7	rb7	rb7	rb7	rb7	rb7	16	1	1	0	0	0	flprun	invrb7		0	xxx			0	gbag	rbox	item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	rbdesc3			4	0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx									1	
Gem Bag	0	100	0	0	0			999	1		0	1	1		ib1	ib1	ib1	ib1	ib1	ib1	16	1	1	0	0	0	flpskl	invgba		0	xxx			0	bag1		item_gem	12	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	extraitemgem				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1							
Pruby Extractor	1	100	0	0	0			999	1		0	1	1		e01	e01	e01	e01	e01	e01	16	1	1	0	0	0	flpbps	inve01		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Fruby Extractor	1	100	0	0	0			999	1		0	1	1		e02	e02	e02	e02	e02	e02	16	1	1	0	0	0	flpbps	inve02		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Nruby Extractor	1	100	0	0	0			999	1		0	1	1		e03	e03	e03	e03	e03	e03	16	1	1	0	0	0	flpbps	inve03		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
FLruby Extractor	1	100	0	0	0			999	1		0	1	1		e04	e04	e04	e04	e04	e04	16	1	1	0	0	0	flpbps	inve04		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Cruby Extractor	1	100	0	0	0			999	1		0	1	1		e05	e05	e05	e05	e05	e05	16	1	1	0	0	0	flpbps	inve05		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Pamethyst Extractor	1	100	0	0	0			999	1		0	1	1		e06	e06	e06	e06	e06	e06	16	1	1	0	0	0	flpbps	inve06		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Famethyst Extractor	1	100	0	0	0			999	1		0	1	1		e07	e07	e07	e07	e07	e07	16	1	1	0	0	0	flpbps	inve07		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Namethyst Extractor	1	100	0	0	0			999	1		0	1	1		e08	e08	e08	e08	e08	e08	16	1	1	0	0	0	flpbps	inve08		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
FLamethyst Extractor	1	100	0	0	0			999	1		0	1	1		e09	e09	e09	e09	e09	e09	16	1	1	0	0	0	flpbps	inve09		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Camethyst Extractor	1	100	0	0	0			999	1		0	1	1		e10	e10	e10	e10	e10	e10	16	1	1	0	0	0	flpbps	inve10		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Pdiamond Extractor	1	100	0	0	0			999	1		0	1	1		e11	e11	e11	e11	e11	e11	16	1	1	0	0	0	flpbps	inve11		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Fdiamond Extractor	1	100	0	0	0			999	1		0	1	1		e12	e12	e12	e12	e12	e12	16	1	1	0	0	0	flpbps	inve12		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Ndiamond Extractor	1	100	0	0	0			999	1		0	1	1		e13	e13	e13	e13	e13	e13	16	1	1	0	0	0	flpbps	inve13		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
FLdiamond Extractor	1	100	0	0	0			999	1		0	1	1		e14	e14	e14	e14	e14	e14	16	1	1	0	0	0	flpbps	inve14		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Cdiamond Extractor	1	100	0	0	0			999	1		0	1	1		e15	e15	e15	e15	e15	e15	16	1	1	0	0	0	flpbps	inve15		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Pemerald Extractor	1	100	0	0	0			999	1		0	1	1		e16	e16	e16	e16	e16	e16	16	1	1	0	0	0	flpbps	inve16		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Femerald Extractor	1	100	0	0	0			999	1		0	1	1		e17	e17	e17	e17	e17	e17	16	1	1	0	0	0	flpbps	inve17		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Nemerald Extractor	1	100	0	0	0			999	1		0	1	1		e18	e18	e18	e18	e18	e18	16	1	1	0	0	0	flpbps	inve18		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
FLemerald Extractor	1	100	0	0	0			999	1		0	1	1		e19	e19	e19	e19	e19	e19	16	1	1	0	0	0	flpbps	inve19		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Cemerald Extractor	1	100	0	0	0			999	1		0	1	1		e20	e20	e20	e20	e20	e20	16	1	1	0	0	0	flpbps	inve20		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Psapphire Extractor	1	100	0	0	0			999	1		0	1	1		e21	e21	e21	e21	e21	e21	16	1	1	0	0	0	flpbps	inve21		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Fsapphire Extractor	1	100	0	0	0			999	1		0	1	1		e22	e22	e22	e22	e22	e22	16	1	1	0	0	0	flpbps	inve22		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Nsapphire Extractor	1	100	0	0	0			999	1		0	1	1		e23	e23	e23	e23	e23	e23	16	1	1	0	0	0	flpbps	inve23		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
FLsapphire Extractor	1	100	0	0	0			999	1		0	1	1		e24	e24	e24	e24	e24	e24	16	1	1	0	0	0	flpbps	inve24		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Csapphire Extractor	1	100	0	0	0			999	1		0	1	1		e25	e25	e25	e25	e25	e25	16	1	1	0	0	0	flpbps	inve25		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Ptopaz Extractor	1	100	0	0	0			999	1		0	1	1		e26	e26	e26	e26	e26	e26	16	1	1	0	0	0	flpbps	inve26		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Ftopaz Extractor	1	100	0	0	0			999	1		0	1	1		e27	e27	e27	e27	e27	e27	16	1	1	0	0	0	flpbps	inve27		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Ntopaz Extractor	1	100	0	0	0			999	1		0	1	1		e28	e28	e28	e28	e28	e28	16	1	1	0	0	0	flpbps	inve28		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
FLtopaz Extractor	1	100	0	0	0			999	1		0	1	1		e29	e29	e29	e29	e29	e29	16	1	1	0	0	0	flpbps	inve29		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Ctopaz Extractor	1	100	0	0	0			999	1		0	1	1		e30	e30	e30	e30	e30	e30	16	1	1	0	0	0	flpbps	inve30		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Pskull Extractor	1	100	0	0	0			999	1		0	1	1		e31	e31	e31	e31	e31	e31	16	1	1	0	0	0	flpbps	inve31		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
Fskull Extractor	1	100	0	0	0			999	1		0	1	1		e32	e32	e32	e32	e32	e32	16	1	1	0	0	0	flpbps	inve32		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx										
Nskull Extractor	1	100	0	0	0			999	1		0	1	1		e33	e33	e33	e33	e33	e33	16	1	1	0	0	0	flpbps	inve33		0	xxx			0	bagx		item_gem	14	item_gem	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	nexextra				0	0	0	non	0					255	1	1			255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx			1						1	
