Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ConditionCalc	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	QuestFlag	QuestFlagEx	*eol
Act 3 (N) Chest B	6	156	4					50	g02	2	Act 3 (N) Junk	10	Act 3 (N) Equip B	10	Act 3 (N) Good	4																						0
Act 3 (N) Chest C	6	162	4					50	g02	1	Act 3 (N) Junk	10	Act 3 (N) Equip B	10	Act 3 (N) Good	4																						0
Act 4 (N) Chest A	6	168	4					50	g01	2	Act 4 (N) Junk	10	Act 4 (N) Equip A	10	Act 4 (N) Good	4																						0
Act 4 (N) Chest B	6	174	4					50	g02	2	Act 4 (N) Junk	10	Act 4 (N) Equip B	10	Act 4 (N) Good	4																						0
Act 4 (N) Chest C	6	180	4					50	g02	1	Act 4 (N) Junk	10	Act 4 (N) Equip C	10	Act 4 (N) Good	4																						0
Act 5 (N) Chest A	6	186	4					50	g01	2	Act 5 (N) Junk	10	Act 5 (N) Equip A	10	Act 5 (N) Good	4																						0
Act 5 (N) Chest B	6	192	4					50	g02	2	Act 5 (N) Junk	10	Act 5 (N) Equip B	10	Act 5 (N) Good	4																						0
Act 5 (N) Chest C	6	198	4					50	g02	1	Act 5 (N) Junk	10	Act 5 (N) Equip B	10	Act 5 (N) Good	4																						0
Act 1 (H) Chest A	6	204	4					50	g01	2	Act 1 (H) Junk	10	Act 1 (H) Equip A	10	Act 1 (H) Good	4																						0
Act 1 (H) Chest B	6	210	4					50	g02	2	Act 1 (H) Junk	10	Act 1 (H) Equip B	10	Act 1 (H) Good	4																						0
Act 1 (H) Chest C	6	213	4					50	g02	1	Act 1 (H) Junk	10	Act 1 (H) Equip B	10	Act 1 (H) Good	4																						0
Act 2 (H) Chest A	6	216	4					50	g01	2	Act 2 (H) Junk	10	Act 2 (H) Equip A	10	Act 2 (H) Good	4																						0
Act 2 (H) Chest B	6	222	4					50	g02	2	Act 2 (H) Junk	10	Act 2 (H) Equip B	10	Act 2 (H) Good	4																						0
Act 2 (H) Chest C	6	225	4					50	g02	1	Act 2 (H) Junk	10	Act 2 (H) Equip B	10	Act 2 (H) Good	4																						0
Act 3 (H) Chest A	6	228	4					50	g01	2	Act 3 (H) Junk	10	Act 3 (H) Equip A	10	Act 3 (H) Good	4																						0
Act 3 (H) Chest B	6	234	4					50	g02	2	Act 3 (H) Junk	10	Act 3 (H) Equip B	10	Act 3 (H) Good	4																						0
Act 3 (H) Chest C	6	237	4					50	g02	1	Act 3 (H) Junk	10	Act 3 (H) Equip B	10	Act 3 (H) Good	4																						0
Act 4 (H) Chest A	6	240	4					50	g01	2	Act 4 (H) Junk	10	Act 4 (H) Equip A	10	Act 4 (H) Good	4																						0
Act 4 (H) Chest B	6	243	4					50	g02	2	Act 4 (H) Junk	10	Act 4 (H) Equip B	10	Act 4 (H) Good	4																						0
Act 4 (H) Chest C	6	246	4					50	g02	1	Act 4 (H) Junk	10	Act 4 (H) Equip B	10	Act 4 (H) Good	4																						0
Act 5 (H) Chest A	6	249	4					50	g01	2	Act 5 (H) Junk	10	Act 5 (H) Equip A	10	Act 5 (H) Good	4																						0
Act 5 (H) Chest B	6	252	4					50	g02	2	Act 5 (H) Junk	10	Act 5 (H) Equip B	10	Act 5 (H) Good	4																						0
Act 5 (H) Chest C	6	255	4					50	g02	1	Act 5 (H) Junk	10	Act 5 (H) Equip B	10	Act 5 (H) Good	4																						0
Act 1 H2H A	7	0	1					100	g01	4	Act 1 Equip A	16	Act 1 Junk	16	Act 1 Good	2																						0
Act 1 H2H B	7	15	1					100	g02	3	Act 1 Equip B	16	Act 1 Junk	16	Act 1 Good	2																						0
Act 1 H2H C	7	27	1					100	g02	2	Act 1 Equip C	16	Act 1 Junk	16	Act 1 Good	2																						0
Act 2 H2H A	7	36	1					100	g01	4	Act 2 Equip A	16	Act 2 Junk	16	Act 2 Good	2																						0
Act 2 H2H B	7	45	1					100	g02	3	Act 2 Equip B	16	Act 2 Junk	16	Act 2 Good	2																						0
Act 2 H2H C	7	54	1					100	g02	2	Act 2 Equip C	16	Act 2 Junk	16	Act 3 Good	2																						0
Act 3 H2H A	7	60	1					100	g01	4	Act 3 Equip A	16	Act 3 Junk	16	Act 3 Good	2																						0
Act 3 H2H B	7	66	1					100	g02	3	Act 3 Equip B	16	Act 3 Junk	16	Act 3 Good	2																						0
Act 3 H2H C	7	72	1					100	g02	2	Act 3 Equip C	16	Act 3 Junk	16	Act 3 Good	2																						0
Act 4 H2H A	7	78	1					100	g02	3	Act 4 Equip A	16	Act 4 Junk	16	Act 4 Good	2																						0
Act 4 H2H B	7	87	1					100	g02	2	Act 4 Equip B	16	Act 4 Junk	16	Act 4 Good	2																						0
Act 5 H2H A	7	96	1					100	g01	4	Act 5 Equip A	16	Act 5 Junk	16	Act 5 Good	2																						0
Act 5 H2H B	7	102	1					100	g02	3	Act 5 Equip B	16	Act 5 Junk	16	Act 5 Good	2																						0
Act 5 H2H C	7	108	1					100	g02	2	Act 5 Equip C	16	Act 5 Junk	16	Act 5 Good	2																						0
Act 1 (N) H2H A	7	114	1					100	g01	4	Act 1 (N) Equip A	16	Act 1 (N) Junk	16	Act 1 (N) Good	2																						0
Act 1 (N) H2H B	7	120	1					100	g02	3	Act 1 (N) Equip B	16	Act 1 (N) Junk	16	Act 1 (N) Good	2																						0
Act 1 (N) H2H C	7	123	1					100	g02	2	Act 1 (N) Equip B	16	Act 1 (N) Junk	16	Act 1 (N) Good	2																						0
Act 2 (N) H2H A	7	126	1					100	g01	4	Act 2 (N) Equip A	16	Act 2 (N) Junk	16	Act 2 (N) Good	2																						0
Act 2 (N) H2H B	7	132	1					100	g02	3	Act 2 (N) Equip B	16	Act 2 (N) Junk	16	Act 2 (N) Good	2																						0
Act 2 (N) H2H C	7	135	1					100	g02	2	Act 2 (N) Equip B	16	Act 2 (N) Junk	16	Act 2 (N) Good	2																						0
Act 3 (N) H2H A	7	138	1					100	g01	4	Act 3 (N) Equip A	16	Act 3 (N) Junk	16	Act 3 (N) Good	2																						0
Act 3 (N) H2H B	7	144	1					100	g02	3	Act 3 (N) Equip B	16	Act 3 (N) Junk	16	Act 3 (N) Good	2																						0
Act 3 (N) H2H C	7	150	1					100	g02	2	Act 3 (N) Equip B	16	Act 3 (N) Junk	16	Act 3 (N) Good	2																						0
Act 4 (N) H2H A	7	153	1					100	g02	3	Act 4 (N) Equip A	16	Act 4 (N) Junk	16	Act 4 (N) Good	2																						0
Act 4 (N) H2H B	7	162	1					100	g02	2	Act 4 (N) Equip B	16	Act 4 (N) Junk	16	Act 4 (N) Good	2																						0
Act 5 (N) H2H A	7	171	1					100	g01	4	Act 5 (N) Equip A	16	Act 5 (N) Junk	16	Act 5 (N) Good	2																						0
Act 5 (N) H2H B	7	180	1					100	g02	3	Act 5 (N) Equip B	16	Act 5 (N) Junk	16	Act 5 (N) Good	2																						0
Act 5 (N) H2H C	7	186	1					100	g02	2	Act 5 (N) Equip C	16	Act 5 (N) Junk	16	Act 5 (N) Good	2																						0
Act 1 (H) H2H A	7	189	1					100	g01	4	Act 1 (H) Equip A	16	Act 1 (H) Junk	16	Act 1 (H) Good	2																						0
Act 1 (H) H2H B	7	198	1					100	g02	3	Act 1 (H) Equip B	16	Act 1 (H) Junk	16	Act 1 (H) Good	2																						0
Act 1 (H) H2H C	7	204	1					100	g02	2	Act 1 (H) Equip B	16	Act 1 (H) Junk	16	Act 1 (H) Good	2																						0
Act 2 (H) H2H A	7	207	1					100	g01	4	Act 2 (H) Equip A	16	Act 1 (H) Junk	16	Act 2 (H) Good	2																						0
Act 2 (H) H2H B	7	213	1					100	g02	3	Act 2 (H) Equip B	16	Act 1 (H) Junk	16	Act 2 (H) Good	2																						0
Act 2 (H) H2H C	7	219	1					100	g02	2	Act 2 (H) Equip B	16	Act 1 (H) Junk	16	Act 2 (H) Good	2																						0
Act 3 (H) H2H A	7	222	1					100	g01	4	Act 3 (H) Equip A	16	Act 1 (H) Junk	16	Act 3 (H) Good	2																						0
Act 3 (H) H2H B	7	228	1					100	g02	3	Act 3 (H) Equip B	16	Act 1 (H) Junk	16	Act 3 (H) Good	2																						0
Act 3 (H) H2H C	7	231	1					100	g02	2	Act 3 (H) Equip B	16	Act 1 (H) Junk	16	Act 3 (H) Good	2																						0
Act 4 (H) H2H A	7	237	1					100	g02	3	Act 4 (H) Equip A	16	Act 1 (H) Junk	16	Act 4 (H) Good	2																						0
Act 4 (H) H2H B	7	240	1					100	g02	2	Act 4 (H) Equip B	16	Act 1 (H) Junk	16	Act 4 (H) Good	2																						0
Act 5 (H) H2H A	7	246	1					100	g01	4	Act 5 (H) Equip A	16	Act 1 (H) Junk	16	Act 5 (H) Good	2																						0
Act 5 (H) H2H B	7	249	1					100	g02	3	Act 5 (H) Equip B	16	Act 1 (H) Junk	16	Act 5 (H) Good	2																						0
Act 5 (H) H2H C	7	255	1					100	g02	2	Act 5 (H) Equip C	16	Act 1 (H) Junk	16	Act 5 (H) Good	2																						0
Act 1 Cast A	8	0	1					100	g01	4	Act 1 Equip A	15	Act 1 Junk	15	Act 1 Good	2	Act 1 Magic A	7																				0
Act 1 Cast B	8	15	1					100	g02	3	Act 1 Equip B	15	Act 1 Junk	15	Act 1 Good	2	Act 1 Magic B	7																				0
Act 1 Cast C	8	27	1					100	g02	2	Act 1 Equip C	15	Act 1 Junk	15	Act 1 Good	2	Act 1 Magic C	7																				0
Act 2 Cast A	8	36	1					100	g01	4	Act 2 Equip A	15	Act 2 Junk	15	Act 2 Good	2	Act 2 Magic A	7																				0
Act 2 Cast B	8	45	1					100	g02	3	Act 2 Equip B	15	Act 2 Junk	15	Act 2 Good	2	Act 2 Magic B	7																				0
Act 2 Cast C	8	54	1					100	g02	2	Act 2 Equip C	15	Act 2 Junk	15	Act 3 Good	2	Act 2 Magic C	7																				0
Act 3 Cast A	8	60	1					100	g01	4	Act 3 Equip A	15	Act 3 Junk	15	Act 3 Good	2	Act 3 Magic A	7																				0
Act 3 Cast B	8	66	1					100	g02	3	Act 3 Equip B	15	Act 3 Junk	15	Act 3 Good	2	Act 3 Magic B	7																				0
Act 3 Cast C	8	72	1					100	g02	2	Act 3 Equip C	15	Act 3 Junk	15	Act 3 Good	2	Act 3 Magic C	7																				0
Act 4 Cast A	8	78	1					100	g02	3	Act 4 Equip A	15	Act 4 Junk	15	Act 4 Good	2	Act 4 Magic A	7																				0
Act 4 Cast B	8	87	1					100	g02	2	Act 4 Equip B	15	Act 4 Junk	15	Act 4 Good	2	Act 4 Magic B	7																				0
Act 5 Cast A	8	96	1					100	g01	4	Act 5 Equip A	15	Act 5 Junk	15	Act 5 Good	2	Act 5 Magic A	7																				0
Act 5 Cast B	8	102	1					100	g02	3	Act 5 Equip B	15	Act 5 Junk	15	Act 5 Good	2	Act 5 Magic B	7																				0
Act 5 Cast C	8	108	1					100	g02	2	Act 5 Equip C	15	Act 5 Junk	15	Act 5 Good	2	Act 5 Magic C	7																				0
Act 1 (N) Cast A	8	114	1					100	g01	4	Act 1 (N) Equip A	15	Act 1 (N) Junk	15	Act 1 (N) Good	2	Act 1 (N) Magic A	7																				0
Act 1 (N) Cast B	8	120	1					100	g02	3	Act 1 (N) Equip B	15	Act 1 (N) Junk	15	Act 1 (N) Good	2	Act 1 (N) Magic B	7																				0
Act 1 (N) Cast C	8	123	1					100	g02	2	Act 1 (N) Equip B	15	Act 1 (N) Junk	15	Act 1 (N) Good	2	Act 1 (N) Magic B	7																				0
Act 2 (N) Cast A	8	126	1					100	g01	4	Act 2 (N) Equip A	15	Act 2 (N) Junk	15	Act 2 (N) Good	2	Act 2 (N) Magic A	7																				0
Act 2 (N) Cast B	8	132	1					100	g02	3	Act 2 (N) Equip B	15	Act 2 (N) Junk	15	Act 2 (N) Good	2	Act 2 (N) Magic B	7																				0
Act 2 (N) Cast C	8	135	1					100	g02	2	Act 2 (N) Equip B	15	Act 2 (N) Junk	15	Act 2 (N) Good	2	Act 2 (N) Magic B	7																				0
Act 3 (N) Cast A	8	138	1					100	g01	4	Act 3 (N) Equip A	15	Act 3 (N) Junk	15	Act 3 (N) Good	2	Act 3 (N) Magic A	7																				0
Act 3 (N) Cast B	8	144	1					100	g02	3	Act 3 (N) Equip B	15	Act 3 (N) Junk	15	Act 3 (N) Good	2	Act 3 (N) Magic B	7																				0
Act 3 (N) Cast C	8	150	1					100	g02	2	Act 3 (N) Equip B	15	Act 3 (N) Junk	15	Act 3 (N) Good	2	Act 3 (N) Magic B	7																				0
Act 4 (N) Cast A	8	153	1					100	g02	3	Act 4 (N) Equip A	15	Act 4 (N) Junk	15	Act 4 (N) Good	2	Act 4 (N) Magic A	7																				0
Act 4 (N) Cast B	8	162	1					100	g02	2	Act 4 (N) Equip B	15	Act 4 (N) Junk	15	Act 4 (N) Good	2	Act 4 (N) Magic B	7																				0
Act 5 (N) Cast A	8	171	1					100	g01	4	Act 5 (N) Equip A	15	Act 5 (N) Junk	15	Act 5 (N) Good	2	Act 5 (N) Magic A	7																				0
Act 5 (N) Cast B	8	180	1					100	g02	3	Act 5 (N) Equip B	15	Act 5 (N) Junk	15	Act 5 (N) Good	2	Act 5 (N) Magic B	7																				0
Act 5 (N) Cast C	8	186	1					100	g02	2	Act 5 (N) Equip C	15	Act 5 (N) Junk	15	Act 5 (N) Good	2	Act 5 (N) Magic B	7																				0
Act 1 (H) Cast A	8	189	1					100	g01	4	Act 1 (H) Equip A	15	Act 1 (H) Junk	15	Act 1 (H) Good	2	Act 1 (H) Magic A	7																				0
Act 1 (H) Cast B	8	198	1					100	g02	3	Act 1 (H) Equip B	15	Act 1 (H) Junk	15	Act 1 (H) Good	2	Act 1 (H) Magic B	7																				0
Act 1 (H) Cast C	8	204	1					100	g02	2	Act 1 (H) Equip B	15	Act 1 (H) Junk	15	Act 1 (H) Good	2	Act 1 (H) Magic B	7																				0
Act 2 (H) Cast A	8	207	1					100	g01	4	Act 2 (H) Equip A	15	Act 1 (H) Junk	15	Act 2 (H) Good	2	Act 2 (H) Magic A	7																				0
Act 2 (H) Cast B	8	213	1					100	g02	3	Act 2 (H) Equip B	15	Act 1 (H) Junk	15	Act 2 (H) Good	2	Act 2 (H) Magic B	7																				0
Act 2 (H) Cast C	8	216	1					100	g02	2	Act 2 (H) Equip B	15	Act 1 (H) Junk	15	Act 2 (H) Good	2	Act 2 (H) Magic B	7																				0
Act 3 (H) Cast A	8	222	1					100	g01	4	Act 3 (H) Equip A	15	Act 1 (H) Junk	15	Act 3 (H) Good	2	Act 3 (H) Magic A	7																				0
Act 3 (H) Cast B	8	225	1					100	g02	3	Act 3 (H) Equip B	15	Act 1 (H) Junk	15	Act 3 (H) Good	2	Act 3 (H) Magic B	7																				0
Act 3 (H) Cast C	8	231	1					100	g02	2	Act 3 (H) Equip B	15	Act 1 (H) Junk	15	Act 3 (H) Good	2	Act 3 (H) Magic B	7																				0
Act 4 (H) Cast A	8	234	1					100	g02	3	Act 4 (H) Equip A	15	Act 1 (H) Junk	15	Act 4 (H) Good	2	Act 4 (H) Magic A	7																				0
Act 4 (H) Cast B	8	240	1					100	g02	2	Act 4 (H) Equip B	15	Act 1 (H) Junk	15	Act 4 (H) Good	2	Act 4 (H) Magic B	7																				0
Act 5 (H) Cast A	8	243	1					100	g01	4	Act 5 (H) Equip A	15	Act 1 (H) Junk	15	Act 5 (H) Good	2	Act 5 (H) Magic A	7																				0
Act 5 (H) Cast B	8	249	1					100	g02	3	Act 5 (H) Equip B	15	Act 1 (H) Junk	15	Act 5 (H) Good	2	Act 5 (H) Magic B	7																				0
Act 5 (H) Cast C	8	255	1					100	g02	2	Act 5 (H) Equip C	15	Act 1 (H) Junk	15	Act 5 (H) Good	2	Act 5 (H) Magic B	7																				0
Act 1 Miss A	9	0	1					100	g01	5	Act 1 Equip A	13	Act 1 Junk	13	Act 1 Good	2	Act 1 Bow A	6	Ammo	3																		0
Act 1 Miss B	9	15	1					100	g02	4	Act 1 Equip B	13	Act 1 Junk	13	Act 1 Good	2	Act 1 Bow B	6	Ammo	3																		0
Act 1 Miss C	9	27	1					100	g02	3	Act 1 Equip C	13	Act 1 Junk	13	Act 1 Good	2	Act 1 Bow C	6	Ammo	3																		0
Act 2 Miss A	9	36	1					100	g01	5	Act 2 Equip A	13	Act 2 Junk	13	Act 2 Good	2	Act 2 Bow A	6	Ammo	3																		0
Act 2 Miss B	9	45	1					100	g02	4	Act 2 Equip B	13	Act 2 Junk	13	Act 2 Good	2	Act 2 Bow B	6	Ammo	3																		0
Act 2 Miss C	9	54	1					100	g02	3	Act 2 Equip C	13	Act 2 Junk	13	Act 3 Good	2	Act 2 Bow C	6	Ammo	3																		0
Act 3 Miss A	9	60	1					100	g01	5	Act 3 Equip A	13	Act 3 Junk	13	Act 3 Good	2	Act 3 Bow A	6	Ammo	3																		0
Act 3 Miss B	9	66	1					100	g02	4	Act 3 Equip B	13	Act 3 Junk	13	Act 3 Good	2	Act 3 Bow B	6	Ammo	3																		0
Act 3 Miss C	9	72	1					100	g02	3	Act 3 Equip C	13	Act 3 Junk	13	Act 3 Good	2	Act 3 Bow C	6	Ammo	3																		0
Act 4 Miss A	9	78	1					100	g02	4	Act 4 Equip A	13	Act 4 Junk	13	Act 4 Good	2	Act 4 Bow A	6	Ammo	3																		0
Act 4 Miss B	9	87	1					100	g02	3	Act 4 Equip B	13	Act 4 Junk	13	Act 4 Good	2	Act 4 Bow B	6	Ammo	3																		0
Act 5 Miss A	9	96	1					100	g01	5	Act 5 Equip A	13	Act 5 Junk	13	Act 5 Good	2	Act 5 Bow A	6	Ammo	3																		0
Act 5 Miss B	9	102	1					100	g02	4	Act 5 Equip B	13	Act 5 Junk	13	Act 5 Good	2	Act 5 Bow B	6	Ammo	3																		0
Act 5 Miss C	9	108	1					100	g02	3	Act 5 Equip C	13	Act 5 Junk	13	Act 5 Good	2	Act 5 Bow B	6	Ammo	3																		0
Act 1 (N) Miss A	9	114	1					100	g01	5	Act 1 (N) Equip A	13	Act 1 (N) Junk	13	Act 1 (N) Good	2	Act 1 (N) Bow A	6	Ammo	3																		0
Act 1 (N) Miss B	9	120	1					100	g02	4	Act 1 (N) Equip B	13	Act 1 (N) Junk	13	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3																		0
Act 1 (N) Miss C	9	123	1					100	g02	3	Act 1 (N) Equip B	13	Act 1 (N) Junk	13	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3																		0
Act 2 (N) Miss A	9	126	1					100	g01	5	Act 2 (N) Equip A	13	Act 2 (N) Junk	13	Act 2 (N) Good	2	Act 2 (N) Bow A	6	Ammo	3																		0
Act 2 (N) Miss B	9	132	1					100	g02	4	Act 2 (N) Equip B	13	Act 2 (N) Junk	13	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3																		0
Act 2 (N) Miss C	9	135	1					100	g02	3	Act 2 (N) Equip B	13	Act 2 (N) Junk	13	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3																		0
Act 3 (N) Miss A	9	138	1					100	g01	5	Act 3 (N) Equip A	13	Act 3 (N) Junk	13	Act 3 (N) Good	2	Act 3 (N) Bow A	6	Ammo	3																		0
Act 3 (N) Miss B	9	144	1					100	g02	4	Act 3 (N) Equip B	13	Act 3 (N) Junk	13	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3																		0
Act 3 (N) Miss C	9	150	1					100	g02	3	Act 3 (N) Equip B	13	Act 3 (N) Junk	13	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3																		0
Act 4 (N) Miss A	9	153	1					100	g02	4	Act 4 (N) Equip A	13	Act 4 (N) Junk	13	Act 4 (N) Good	2	Act 4 (N) Bow A	6	Ammo	3																		0
Act 4 (N) Miss B	9	162	1					100	g02	3	Act 4 (N) Equip B	13	Act 4 (N) Junk	13	Act 4 (N) Good	2	Act 4 (N) Bow B	6	Ammo	3																		0
Act 5 (N) Miss A	9	171	1					100	g01	5	Act 5 (N) Equip A	13	Act 5 (N) Junk	13	Act 5 (N) Good	2	Act 5 (N) Bow A	6	Ammo	3																		0
Act 5 (N) Miss B	9	180	1					100	g02	4	Act 5 (N) Equip B	13	Act 5 (N) Junk	13	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3																		0
Act 5 (N) Miss C	9	186	1					100	g02	3	Act 5 (N) Equip C	13	Act 5 (N) Junk	13	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3																		0
Act 1 (H) Miss A	9	189	1					100	g01	5	Act 1 (H) Equip A	13	Act 1 (H) Junk	13	Act 1 (H) Good	2	Act 1 (H) Bow A	6	Ammo	3																		0
Act 1 (H) Miss B	9	198	1					100	g02	4	Act 1 (H) Equip B	13	Act 1 (H) Junk	13	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3																		0
Act 1 (H) Miss C	9	204	1					100	g02	3	Act 1 (H) Equip B	13	Act 1 (H) Junk	13	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3																		0
Act 2 (H) Miss A	9	207	1					100	g01	5	Act 2 (H) Equip A	13	Act 1 (H) Junk	13	Act 2 (H) Good	2	Act 2 (H) Bow A	6	Ammo	3																		0
Act 2 (H) Miss B	9	213	1					100	g02	4	Act 2 (H) Equip B	13	Act 1 (H) Junk	13	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3																		0
Act 2 (H) Miss C	9	216	1					100	g02	3	Act 2 (H) Equip B	13	Act 1 (H) Junk	13	Act 2 (H) Good	2	Act 2 (H) Bow B	6	Ammo	3																		0
Act 3 (H) Miss A	9	222	1					100	g01	5	Act 3 (H) Equip A	13	Act 1 (H) Junk	13	Act 3 (H) Good	2	Act 3 (H) Bow A	6	Ammo	3																		0
Act 3 (H) Miss B	9	225	1					100	g02	4	Act 3 (H) Equip B	13	Act 1 (H) Junk	13	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3																		0
Act 3 (H) Miss C	9	231	1					100	g02	3	Act 3 (H) Equip B	13	Act 1 (H) Junk	13	Act 3 (H) Good	2	Act 3 (H) Bow B	6	Ammo	3																		0
Act 4 (H) Miss A	9	234	1					100	g02	4	Act 4 (H) Equip A	13	Act 1 (H) Junk	13	Act 4 (H) Good	2	Act 4 (H) Bow A	6	Ammo	3																		0
Act 4 (H) Miss B	9	240	1					100	g02	3	Act 4 (H) Equip B	13	Act 1 (H) Junk	13	Act 4 (H) Good	2	Act 4 (H) Bow B	6	Ammo	3																		0
Act 5 (H) Miss A	9	243	1					100	g01	5	Act 5 (H) Equip A	13	Act 1 (H) Junk	13	Act 5 (H) Good	2	Act 5 (H) Bow A	6	Ammo	3																		0
Act 5 (H) Miss B	9	249	1					100	g02	4	Act 5 (H) Equip B	13	Act 1 (H) Junk	13	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3																		0
Act 5 (H) Miss C	9	255	1					100	g02	3	Act 5 (H) Equip C	13	Act 1 (H) Junk	13	Act 5 (H) Good	2	Act 5 (H) Bow B	6	Ammo	3																		0
Act 1 Wraith A	10	0	1					75	Act 1 Good	4	Act 1 Magic A	25																										0
Act 1 Wraith B	10	15	1					75	Act 1 Good	4	Act 1 Magic B	25																										0
Act 1 Wraith C	10	27	1					75	Act 1 Good	4	Act 1 Magic C	25																										0
Act 2 Wraith A	10	36	1					75	Act 2 Good	4	Act 2 Magic A	25																										0
Act 2 Wraith B	10	45	1					75	Act 2 Good	4	Act 2 Magic B	25																										0
Act 2 Wraith C	10	54	1					75	Act 3 Good	4	Act 2 Magic C	25																										0
Act 3 Wraith A	10	60	1					75	Act 3 Good	4	Act 3 Magic A	25																										0
Act 3 Wraith B	10	66	1					75	Act 3 Good	4	Act 3 Magic B	25																										0
Act 3 Wraith C	10	72	1					75	Act 3 Good	4	Act 3 Magic C	25																										0
Act 4 Wraith A	10	78	1					75	Act 4 Good	4	Act 4 Magic A	25																										0
Act 4 Wraith B	10	87	1					75	Act 4 Good	4	Act 4 Magic B	25																										0
Act 5 Wraith A	10	96	1					75	Act 5 Good	4	Act 5 Magic A	25																										0
Act 5 Wraith B	10	102	1					75	Act 5 Good	4	Act 5 Magic B	25																										0
Act 5 Wraith C	10	108	1					75	Act 5 Good	4	Act 5 Magic C	25																										0
Act 1 (N) Wraith A	10	114	1					75	Act 1 (N) Good	4	Act 1 (N) Magic A	25																										0
Act 1 (N) Wraith B	10	120	1					75	Act 1 (N) Good	4	Act 1 (N) Magic B	25																										0
Act 1 (N) Wraith C	10	123	1					75	Act 1 (N) Good	4	Act 1 (N) Magic B	25																										0
Act 2 (N) Wraith A	10	126	1					75	Act 2 (N) Good	4	Act 2 (N) Magic A	25																										0
Act 2 (N) Wraith B	10	132	1					75	Act 2 (N) Good	4	Act 2 (N) Magic B	25																										0
Act 2 (N) Wraith C	10	135	1					75	Act 2 (N) Good	4	Act 2 (N) Magic B	25																										0
Act 3 (N) Wraith A	10	138	1					75	Act 3 (N) Good	4	Act 3 (N) Magic A	25																										0
Act 3 (N) Wraith B	10	144	1					75	Act 3 (N) Good	4	Act 3 (N) Magic B	25																										0
Act 3 (N) Wraith C	10	150	1					75	Act 3 (N) Good	4	Act 3 (N) Magic B	25																										0
Act 4 (N) Wraith A	10	153	1					75	Act 4 (N) Good	4	Act 4 (N) Magic A	25																										0
Act 4 (N) Wraith B	10	162	1					75	Act 4 (N) Good	4	Act 4 (N) Magic B	25																										0
Act 5 (N) Wraith A	10	171	1					75	Act 5 (N) Good	4	Act 5 (N) Magic A	25																										0
Act 5 (N) Wraith B	10	180	1					75	Act 5 (N) Good	4	Act 5 (N) Magic B	25																										0
Act 5 (N) Wraith C	10	186	1					75	Act 5 (N) Good	4	Act 5 (N) Magic C	25																										0
Act 1 (H) Wraith A	10	189	1					75	Act 1 (H) Good	4	Act 1 (H) Magic A	25																										0
Act 1 (H) Wraith B	10	198	1					75	Act 1 (H) Good	4	Act 1 (H) Magic B	25																										0
Act 1 (H) Wraith C	10	204	1					75	Act 1 (H) Good	4	Act 1 (H) Magic B	25																										0
Act 2 (H) Wraith A	10	207	1					75	Act 2 (H) Good	4	Act 2 (H) Magic A	25																										0
Act 2 (H) Wraith B	10	213	1					75	Act 2 (H) Good	4	Act 2 (H) Magic B	25																										0
Act 2 (H) Wraith C	10	216	1					75	Act 2 (H) Good	4	Act 2 (H) Magic B	25																										0
Act 3 (H) Wraith A	10	222	1					75	Act 3 (H) Good	4	Act 3 (H) Magic A	25																										0
Act 3 (H) Wraith B	10	225	1					75	Act 3 (H) Good	4	Act 3 (H) Magic B	25																										0
Act 3 (H) Wraith C	10	231	1					75	Act 3 (H) Good	4	Act 3 (H) Magic B	25																										0
Act 4 (H) Wraith A	10	234	1					75	Act 4 (H) Good	4	Act 4 (H) Magic A	25																										0
Act 4 (H) Wraith B	10	240	1					75	Act 4 (H) Good	4	Act 4 (H) Magic B	25																										0
Act 5 (H) Wraith A	10	243	1					75	Act 5 (H) Good	4	Act 5 (H) Magic A	25																										0
Act 5 (H) Wraith B	10	249	1					75	Act 5 (H) Good	4	Act 5 (H) Magic B	25																										0
Act 5 (H) Wraith C	10	255	1					75	Act 5 (H) Good	4	Act 5 (H) Magic C	25																										0
Act 1 Citem A	11	0	1	800	800	800	1024	0	g01	1	Act 1 Equip A	37	Act 1 Good	3																								0
Act 1 Citem B	11	15	1	800	800	800	1024	0	g02	1	Act 1 Equip B	37	Act 1 Good	3																								0
